,title,contents,decoder_input,decoder_target
197,와중 쿠팡 인기검색어 근황,요즘 사이트나 어플 탈퇴방법을 너무 어렵게 만들었음 페북만해도 탈퇴하려면 엄청 들어가야함,sostoken 와중 쿠팡 인기검색어 근황,와중 쿠팡 인기검색어 근황 eostoken
198,이번에 일본에서 체포된 남성 성폭행범,소년에게 눈을 가리고 조미료 맞추기 게임 이랍시고 직접 만든 해물 덮밥에 수면제를 섞어 소년이 잠든 사이 성폭행한 혐의로 세의 용의자가 체포 본인은 범행을 부인하고 있지만 미수에 그치거나 실제 피해를 피해자가 발생하고 있어 추가 조사중,sostoken 이번에 일본에서 체포된 남성 성폭행범,이번에 일본에서 체포된 남성 성폭행범 eostoken
199,옛날 전쟁에서 전염병이 많이 돌았다는 얘기가 유독 많았던 이유,대변 문제 때문이었는데 군량 보급이 원활하게 이루어진다고 병사들이 대변을 보는 것은 어찌하지 못했음 자연스러운 생리적인 현상이다 보니까 이를 어찌할 수가 없었거든 이걸 억지로 막는다는 이상하고 그렇다면 병사들이 전쟁터나 진지에서 대변을 보는 문제가 되었느냐 밑에서 후술하자면 옛날 병사들의 대변 처리 방식이었다는 대충 구덩이를 어느정도의 깊이까지 대변을 대강 묻어두는 것이었음 푸세식 화장실 제대로 마련되어 있지 않는 경우도 굉장히 허다했고 바라는 전쟁터에서는 사치였지 문제는 땅을 파고 대변을 대충 묻어두는 용변 처리로 인해서 대변 성분이 병사들 사이에서 퍼지니까 콜레라나 이질 등에 걸리기에 좋았다는 거임 게다가 콜레라나 이질은 전염병의 일종이었기 더욱 치명적이었고 떄문에 옛날의 전쟁에서 병사들이 전염병으로 많이 죽어나갔다는 것은 콜레라나 이질로 인해서 많이 죽어나갔던 것임 침략한 나라의 기후와 물에 적응하지 못한 풍토병 문제도 있었지만 저런 콜레라나 이질 전염병 문제도 심각했던 거지 게다가 무더운 여름에는 콜레라나 이질이 더욱 급속도로 퍼지기에는 최적의 환경이었기 콜레라와 이질 문제는 여름에 심했음 게다가 여름에는 비까지 많이 오니까 콜레라나 이질이 병사들 사이에서 퍼질지는 말할 필요도 전쟁에서 유리한 국면을 맞이하더라도 대변을 통한 콜레라나 이질로 인해 전염병이 퍼져서 허무하게 물러나는 경우도 적잖이 있었기 전쟁을 직접 지휘하는 입장에서는 전염병만큼 크나큰 골칫거리도 없었고,sostoken 옛날 전쟁에서 전염병이 많이 돌았다는 얘기가 유독 많았던 이유,옛날 전쟁에서 전염병이 많이 돌았다는 얘기가 유독 많았던 이유 eostoken
200,남자화장실 소변기에서 자주보는 문구,사람이 없어도 물이 내려갈때가 있습니다 그때는 절대 뒤를 돌아보지 말고 곧장 도망치십시오,sostoken 남자화장실 소변기에서 자주보는 문구,남자화장실 소변기에서 자주보는 문구 eostoken
201,귀여운 뚜루루뚜루 아기,아기 거북이 아기 가오리 아기 코알라 아기 카짓 아기 부엉이 아기 토끼 아기 늑대 아기 사자 아기 호랑이 아기 펭귄,sostoken 귀여운 뚜루루뚜루 아기,귀여운 뚜루루뚜루 아기 eostoken
202,근황,빌보드 연속 달성함 스트리밍 다운로드 횟수는 줄었지만 위와 크게 차이가 나고 라디오 쪽에서 강세를 보였다고 영국 오피셜 차트에서는 위를 기록 참고로 위로 차트 데뷔 연속 위를 수성한 빌보드 역대 번째 기록이라고,sostoken 근황,근황 eostoken
203,테슬라 차량결함으로 공개사과,중국에서 테슬라 모델 차량의 전기 공급이 갑자기 끊어지면서 안에 있던 운전자가 고온의 환경에서 안에 갇혀 의식을 잃었다가 주변 이들에게 가까스로 구출되는 사건이 발생함 야외 충전소에서 충전 중이던 원씨의 모델 차량의 전원 공급이 갑자기 중단됐고 전기 공급이 끊어져 차량 문이 안에서 열리지 않게 되면서 안에 있던 원씨는 뜨거운 날씨 속에서 분가량 차에서 갇힘 사고이유는 차량 내부에 장착된 소형 배터리의 축전 능력이 저하돼 생긴 것으로 파악되었고 비상탈출레버까지 작동되지 않았다고 해당 사건이 이슈가 되자 테슬라 측은 이에 공개적으로 사과함 그로인한 주식떡락 뿅뿅들아 전기가 끊기면 문이안열리게 만들면어떻게해,sostoken 테슬라 차량결함으로 공개사과,테슬라 차량결함으로 공개사과 eostoken
204,한국 애니 하청 신인데 맡겨도,센과 치히로의 제작 당시 지브리 스튜디오는 다가오는 개봉일에 빡빡한 일정에 괴로워 하고 있었고 미야자키 하야오는 없이 하청업체를 찾았는데 하필이면 쓸만한게 한국밖에 없었다 이전에 미래소년 코난때 한국에 외주를 맡겼다가 좋은꼴을 본적이 없었던데다가 옆동네 나디아를 조지기 까지하고 옛날에는 필름들고 그대로 배껴쓰고 하니까 한국에 외주를 맡기기 껄끄럽던 상황 무비측에서는 걱정하지 말라고 언제적 이야기 하냐며 우리는 실적이 많고 잘해드릴테니까 외주를 달라고 했다 지브리측은 불안했는지 무려 직원 네명까지 파견을 보낸데다가 돈으로 후려 쳤다는 전설이 결과 우려와는 다르게 꽤나 만족스러운 결과물이 나왔으며 미야자키 하야오는 무야호를 외쳤다고 한다 이때부터 우리는 미야자키 무야호 감독이라고 불렀다 여튼 미야자키 감독 입장에서는 굉장히 인상깊었던 일이었는지 센과 치히로 행방불명 개봉직후 방한까지 했다 한국에서 토토로를 개봉한다고 홍보차라고 일본에서 센과 치히로 개봉직후 방한을 했다 여튼 일이 재밌었는지 직접 무비스튜디오 탐방한 이야기를 블로그에도 올리며 꽤나 이야깃거리로 삼았고 지브리 스튜디오에서는 이후 무비를 하청으로 작품을 제작했는데 그대로 개꼴아박고 죷망했다,sostoken 한국 애니 하청 신인데 맡겨도,한국 애니 하청 신인데 맡겨도 eostoken
205,헤르미온느가 사기캐인 이유,헤르미온느는 머글 태생으로 평생을 마법 세계의 존재조차 모르고 살았음 다시 말해서 헤르미온느가 본인이 마법사라는 알게 되고 호그와트에 입학하기까지 불과 한달 남짓의 없었던 입학 시점에서 신입생 누구보다 마법에 해박한 지식을 자랑하며 호그와트의 역사와 마법세계의 문화에도 통달했으며 스네이프가 해리 엿먹이려고 까다로운 질문의 정답까지 알고 있음 모든 한달만에 습득함 저걸 알지,sostoken 헤르미온느가 사기캐인 이유,헤르미온느가 사기캐인 이유 eostoken
206,천사같은 여동생,천사 여동생 니이가타현 학년 마츠하시 잇타 제게는 천사 여동생이 있습니다 밤중에 저는 아버지와 병원 대기실에 앉아있었습니다 옆에 계신 아버지는 무서운 표정을 짓고 계셨습니다 언제나 사람이 많았던 병원은 밤중이 되니까 이렇게나 조용하구나 싶었습니다 얼마후 눈앞의 문이 열리고 휠체어에 앉은 어머니와 간호사가 나왔습니다 제가 휠체어를 밀자 어머니는 슬픈듯이 이를 깨문 표정으로 손을 꼬옥 잡아주셨습니다 집에 도착할 무렵 하늘이 밝아져있었습니다 저는 외동아들이라서 여동생이 태어나는 정말 기대되었습니다 어머니의 배에 여동생이 왔다는 말을 들은 매일매일 인형으로 기저귀를 가는 연습을 하거나 여동생의 이름을 생각하거나 하며 지냈습니다 밥을 먹고 수다를 떨며 웃고 공원에서 놀고 텔레비전을 보는 지금까지 세명이서 했던 일을 앞으로는 네명이 거라고 생각했습니다 봄방학이 끝나고 화장실에 쓰러져서 울고계신 어머니를 보고 앞으로도 세명이 될지도 모른다고 생각했습니다 쓸쓸하고 슬펐지만 말을 아버지와 어머니는 곤란해하실 같아 말하지 않았습니다 날씨가 따스한 날에 저희는 젠코지 절에 갔습니다 여동생과 바이바이 인사를 위해서였습니다 처음으로 네명이 외출이었습니다 저는 여동생이 천국에서 있도록 종이접기로 장난감을 만들었습니다 나중에 어머니 배에 태어나면 여러가지 일을 하자 라고 편지를 썼습니다 저는 손을 모으고 기도하며 제가 당연하게 보내는 매일이 고마운 매일이라고 생각했습니다 아버지와 어머니가 있는 것도 웃는 것도 먹는 것이나 이야기하는 것도 고마운 일이라고 생각했습니다 그걸 가르쳐준 여동생입니다 나의 여동생 고마워 아버지 어머니 고마워요 살아있다는 고마워요 제게는 천사 여동생이 있습니다 소중하고 소중한 여동생이 있습니다,sostoken 천사같은 여동생,천사같은 여동생 eostoken
207,의외로 알바들이 싫어하는 손님,아침에 커피 사는데 알바하는 여자분이 이상하게 불쾌하게 쳐다보더라고 결제하려고 폰만 건냈을 뿐인데 번호를 물어볼껄 그랬나봐,sostoken 의외로 알바들이 싫어하는 손님,의외로 알바들이 싫어하는 손님 eostoken
208,생각해보면 노빠구였던 고대요리사들,막말로 먹으면 죽는 요리인데 먹는부위를 찾아냈다는게 신기함 사형수들에게 오늘은 이부위로 먹여봐야겠다 하고 먹여서 찾아낸거 아닌가 라는 생각도 들정도임,sostoken 생각해보면 노빠구였던 고대요리사들,생각해보면 노빠구였던 고대요리사들 eostoken
209,외국인이 일본어 배울때 가장 힘든 진입장벽,라트비아인입니다 독음이 너무 많아서 죽겠습니다 나마 세이 쇼우 나리 소우 이케 요이 뉴우 일본인들은 이걸 이해할 있는 거지 닌자냐,sostoken 외국인이 일본어 배울때 가장 힘든 진입장벽,외국인이 일본어 배울때 가장 힘든 진입장벽 eostoken
210,배필 신작 공개 고통받는 게임사,글들이 올라온 갤은 놀랍게도 레인보우식스 갤이다 그들은 배필 뽕에 취해 엿같이 운영하는 유비의 신작이 망하기를 빌고,sostoken 배필 신작 공개 고통받는 게임사,배필 신작 공개 고통받는 게임사 eostoken
211,휠체어 손님을 돈까스집의 대응,아버지가 돌아가시기 반년쯤 전에 돈까스 먹으러 가고싶다 하셔서 휠체어인데 괜찮나요 라고 문의해보니 괜찮습니다 라는 가게가 있어서 가봤더니 입구 계단에 점원 둘이 나와서 휠체어째로 아버지를 들어 옮겨주었던 돈까스집 몇년만에 가봤더니 슬로프가 설치되어있어서 눈물이 나왔다,sostoken 휠체어 손님을 돈까스집의 대응,휠체어 손님을 돈까스집의 대응 eostoken
212,유튜브에 김치만드는 것이 결과,해외 아미들 김치만들기 시작 김치 있는 아미들은 먹는거 인증 시작 백날 해봐라,sostoken 유튜브에 김치만드는 것이 결과,유튜브에 김치만드는 것이 결과 eostoken
213,생각보다 엄청난 김치의 천국 북한,북한 당국이 지원하는 주요 거점 공장에서 종류의 김치를 생산 약용으로 쓰이는 수십개 종류의 김치도 만듬 지역마다 김치 대회 개최 종류가 넘는 김치 레시피 채소든 김치 가능,sostoken 생각보다 엄청난 김치의 천국 북한,생각보다 엄청난 김치의 천국 북한 eostoken
214,중고거래의 필사적인 회피기동,전주 대구 칠곡 대전 축지법을 있는 자가 아직도 강호에 이름을 알리지 못했다니,sostoken 중고거래의 필사적인 회피기동,중고거래의 필사적인 회피기동 eostoken
215,우리나라 역사상 가장 비극적인 왕권다툼 사건,수양대군이 일으킨 계유정난 수양대군이 친형 문종의 고명대신이었던 김종서 황보인 중신들을 한밤중에 무단으로 살해한 정권을 장악해버린 사건 수양대군의 친동생 안평대군도 유배보내서 사사시켜 버림 세종대왕의 둘째 아들이자 영화 관상에서 이정재가 맡았던 수양대군으로도 유명한 인물 애초에 수양대군은 왕이 없는 운명이었는데 문종이 조선왕조에서 처음으로 탄생한 적장자 출신왕 이었고 적장자의 원칙을 바로잡기 위해 할아버지가 피를 보면서까지 기틀을 다져놓고 아버지 세종이 완벽하게 터전을 만들어놓은 상황에서 적장자의 원칙이 처음으로 계승되었는데 문종이 일찍 병으로 죽자 김종서 황보인 등등의 고명대신들이 어린 단종을 대신해 국정을 운영하게 수양대군은 고명대신들이 국정농단을 한다는 명분을 씌워 무단으로 중신들을 살해하여 정권을 장악하였고 결국에는 단종을 압박하여 왕위까지 찬탈해버림 문종의 아들이자 세조의 조카인 단종 단종은 세의 어린 나이에 왕위에 올라 세에 반강제로 왕위를 찬탈당하게 세의 어린나이에 폐서인까지 당하고 유배지에서 숙부에게 사약받고 죽음을 당함 이는 아무런 명분도 없었고 수양대군 한명의 욕심 일어난 찬탈극이자 비극적인 왕권다툼 사건임 욕심은 부렸던 할아버지 태종 이방원은 적어도 공신들과 외척들을 직접 숙청까지 해가면서 견제해 권력이 집중되는 것을 막았고 조선초기 나라의 기틀을 다진 성군으로 남게 세조는 태종과는 어설프게 공신들을 퍼줌 정난 공신들의 득세를 막지못했음 세조의 책사였던 한명회는 세조 의경세자와 사돈관계 맺고 외척이 성종까지 해먹음 한명회 뿐만 세조를 도운 정난공신 대부분이 성종때까지 해먹다 죽음 마지막으로 세조는 아버지 세종이 총애했던 집현전 학자들 성삼문 박팽년 등등을 단종 복위운동을 명분으로 끔찍하게 죽였고 아버지 세종이 만든 싱크탱크인 집현전 없애버림 세조의 친동생이었던 안평대군 금성대군 세종의 후궁이었던 혜빈양씨와 세조의 몇몇 이복동생들 죽임 결론은 욕심 세종의 적장자 문종과 문종의 적장자 단종으로 이어지는 정통성을 부숴버린,sostoken 우리나라 역사상 가장 비극적인 왕권다툼 사건,우리나라 역사상 가장 비극적인 왕권다툼 사건 eostoken
216,연개소문이 위엄이 쩔었다는 증거,통일 중국 황제 그것도 중국사 최고의 명군 반열에 드는 이세민을 상대로 고구려 실권자지만 신하에 불과했던 연개소문이 대놓고 뻣뻣하게 구는가 황제가 선물 받고 쌩까고 황제 말을 개소리로 알고 황제한테 심한 소리를 했다는 기록이 한국도 아닌 중국 사서에 버젓이 실려있음,sostoken 연개소문이 위엄이 쩔었다는 증거,연개소문이 위엄이 쩔었다는 증거 eostoken
217,이번에 한강 대학생 사건으로 고소당한 시즌 유튜버,친구 씨가 선임한 변호사의 로펌 대표의 이름과 이름이 비슷하다며 서로 의형제인듯 거짓 대화 영상을 만든 유튜버를 상대로 로펌에서 시즌 고소 시전함 특히 유튜버는 업로드한 영상 전부가 한강대학생 사건 관련이며 수십개의 영상 전부가 악위적인 악성 루머인 고소를 진행하게 되었다고 발표함,sostoken 이번에 한강 대학생 사건으로 고소당한 시즌 유튜버,이번에 한강 대학생 사건으로 고소당한 시즌 유튜버 eostoken
218,교통사고 마동석,마동석은 예고편에 나온 여고생과 부딪치는 장면에 친구가 걸어가다가 거리 조절을 해서 살짝 넘어져야 했는데 실제로는 공중에 정도로 넘어져서 크게 부딪혔다 촬영을 중단하고 학생을 병원에 보냈다 자꾸 미안하다 전했다 어깨빵 정도가 아닌데,sostoken 교통사고 마동석,교통사고 마동석 eostoken
219,일본 다리의 기울어짐을 느낀 주민의 신고,교각하나가 기울어진걸 그냥 주민이 감각으로 발견 차량통행 통제 선동렬 저리가라 할정도 인간 각도기아니냐 저거,sostoken 일본 다리의 기울어짐을 느낀 주민의 신고,일본 다리의 기울어짐을 느낀 주민의 신고 eostoken
220,딸을 피아노 학원에 보낸 기초수급자 부부,미래가 아닌 오늘 하루만 바라보고 살았다 멋진 말인듯 사람마다 재능환경이 다르니 수는 없겠지만,sostoken 딸을 피아노 학원에 보낸 기초수급자 부부,딸을 피아노 학원에 보낸 기초수급자 부부 eostoken
221,한국인의 밥상 고래 고기,저거 촬영할 당시는 합법이었지만 현재는 혼획으로 잡힌 고래를 유통하는것도 불법임 애초에 진짜 혼획으로 잡힌건지 증명할 방법도 마땅치 않아서 이제 일본여행 어민이 아닌이상 고래고기 먹는건 불가능,sostoken 한국인의 밥상 고래 고기,한국인의 밥상 고래 고기 eostoken
222,김치를 중요시 하는 북한 근황,도에다가 대규모 김치공장 설치하고 공장 하나당 종류의 김치 생산 선전매체 통해 김치는 민족음식 이라고 강조하고 세계 건강식이라고 홍보 북한 자체적으로 김치 유산균 연구 착수,sostoken 김치를 중요시 하는 북한 근황,김치를 중요시 하는 북한 근황 eostoken
223,아프리카 사기사건 레전드,개쩌는 브랜드라고 발표 마케팅만 존나 열심히함 당시 망해가던 스타리그도 예토전생하고 프로팀도 만들어서 후원하고 아이유도 데려오고 그러다보니 젊은층에 인지도를 얻음 프라다보다 뛰어난 신발이라 카드만 그냥 신발공장에서 카피품 떼와서 로고만 박아서 판거임 사장인 씨는 흥청망청 신발공장들이 물건대금 못받아서 줄도산 재고를 대리점이 아니고 그냥 지하철에서 땡처리 하다가 걸림 알고보니 상표권도 등록못함 다른데는 횡령 배임으로 문제가 생기는데 그냥 회사 경영을 못해서 사기사건이 초유의 사태,sostoken 아프리카 사기사건 레전드,아프리카 사기사건 레전드 eostoken
224,어시장에서 실수로 복어를 팔아버렸던 사건,좀더 자세히 설명하자면 생선파시는분이 도매업자에게 자기가봣을때 곰치처럼 생긴 생선이 있어서 사서 판매함 근데 판매하고 남은걸보니까 아무리봐도 뭔가 복어처럼 생김 혹시나해서 도매업자에게 연락해서 제가 오늘산게 곰치 맞죠 이랬는데 도매업자왈 복어사신건데요 라는 답변을 듣고 기겁해서 경찰에게 도움을 청했다고 한다 판매된 복어는 흑밀복이라고 곰치랑 유사하게 생기는 바람에 착오가 생긴 생선장수는 개업한지 한달밖에 안됬었다고 하는데 정말 큰일날뻔 했다면서 울먹이기까지 했다고 덧붙여 복어사신분은 처음에 자기가 복어샀다는걸 안믿었다고 한다 왜인지 마을이장이랑 경찰이 몰려와서 생선달라니까 뭐지하고 엉겹결에 그냥 돌려줬다고 참고로 이게 상인분이 착각했다던 곰치 못생긴게 복어랑 닮아서 착각할만 하다 그러디 유게이들도 복어로 오해받지 주의하도록 하자,sostoken 어시장에서 실수로 복어를 팔아버렸던 사건,어시장에서 실수로 복어를 팔아버렸던 사건 eostoken
225,전당포에 들어온 미심쩍은 자루,남자가 건케이스 가져옴 열어봤더니 띠용 칼이네 칼이 뭔진 모르겠고 할아버지가 경매에서 비싸게 주고 사셨다는 것만 알고있음 나는 모르겠고 전문가 입이 귀에 걸릴듯 하아 탈주엔딩,sostoken 전당포에 들어온 미심쩍은 자루,전당포에 들어온 미심쩍은 자루 eostoken
226,미국도 한국이나 다름없구나,밀린 임금을 센트짜리 동전과 욕설 쪽지로 지불 우리나라에서 갑질하는데나 쓸법한일이 미국에서도 일어나는구믄,sostoken 미국도 한국이나 다름없구나,미국도 한국이나 다름없구나 eostoken
227,모텔에 가거든 그림을 확인해야 하는 이유,그림액자에 카메라 숨겨놓는 제품이 있음 유화로 그린 울퉁불퉁한 질감 사이에 카메라를 숨김 제품 설명은 보안용이라고는 하는데 숨길 필요가 있나 싶기도 하고 악용될 여지가 너무 많아 보임,sostoken 모텔에 가거든 그림을 확인해야 하는 이유,모텔에 가거든 그림을 확인해야 하는 이유 eostoken
228,일본의 어린이 생존왕,초여름에 있었던 아이가 홋카이도 산속에서 실종되었다가 발견되었는데 경위가 놀라움 야마토군의 능력 눈을 사이 모습을 감춤 실종 사흘은 폭우 뇌우 일동안 티셔츠 한장만으로 산기슭을 횡단 경찰 소방관 자위대의 탐색마저 빠져나감 실종 장소에서 자위대 주둔지까지 다리 없는 강이 고갯길을 넘어 정반대의 자위대 주둔지에 출현 경찰견의 후각까지 속임 열쇠로 잠긴 자위대 주둔지 창고 안에서 출현 스네이크냐,sostoken 일본의 어린이 생존왕,일본의 어린이 생존왕 eostoken
229,서울애들이 광역시조차 시골취급하는 이유,서북방에 모든걸 올인하면 망할만도 기업 내려보내는게 어렵다면 광역시를 거점으로 아우토반이던 뭐던 만들어서 서울과 근교까지 가는데 걸리는 시간을 단축시키거나 기업이던 대학이던 내려보내서 일자리나 상권 확보해줘야겠지 대기업 개가 수도권에 있고 정도 년제 대학 개가 서울에 있는걸,sostoken 서울애들이 광역시조차 시골취급하는 이유,서울애들이 광역시조차 시골취급하는 이유 eostoken
230,비쥬얼이 사기인 배우,누가봐도 그린 고블린 자체 고흐 영화에서 고흐 맡았는데 비쥬얼이 고흐 자체임,sostoken 비쥬얼이 사기인 배우,비쥬얼이 사기인 배우 eostoken
231,유저들의 커마에 개빡쳤던 게임사,게임이든 마스코트는 굉장히 중요하다 캐릭터 떠오르는 게임으로 인식이 뿐더러 애들의 유무가 유저들의 애정과 인기를 확고하게 해주기 때문이다 검은사막의 신규 직업 하나인 샤이는 펄어비스가 마스코트로 삼고자 캐릭이였다 절대 그럴 생각은 없었다고 말하면서도 홀딱 벗겼던 엘린과는 달리 순수하게 귀여운 컨셉으로 잡은 캐릭터 가령 은근슬쩍 속옷이 보이는 스킨이라도 샤이가 입으면 아기 천사가 상황 펄어비스가 귀여운 마스코트로 삼거나 말이나 매출이 떨어지면 벗기기 쟁여둔다는 말이 나올 정도로 샤이는 총애를 받고 있었다 이들은 자신의 게임을 유저들이 노답인지 파악하지 못하고 있었고 유저가 참피 룩을 공개하면서 동네방네 퍼지고 샤이의 이미지는 단순히 타격을 입은게 일가실각당하게 된다 자신들의 세레브한 마스코트가 똥분충이 되었다는 사실에 격노한 운영진은 커마를 막아버리는 공지까지 때려 버린다 이후 몇몇 커마 유저들이 쥐도 새도 모르게 사라졌다는 소문도 있지만 진실은 너머에,sostoken 유저들의 커마에 개빡쳤던 게임사,유저들의 커마에 개빡쳤던 게임사 eostoken
232,어떤 직장인이 생각하는 회사 최고의 복지,반려견 동반 출근 근데 이건 진짜 좋아하는 사람한테는 최고이긴 하겠다 일하다 힘들면 한번씩 힐링하고,sostoken 어떤 직장인이 생각하는 회사 최고의 복지,어떤 직장인이 생각하는 회사 최고의 복지 eostoken
233,본격 저격용 리볼버,에서 쓰는 물건 제식 리볼버인 마뉘랭 배율 스코프하고 양각대 달아서 간이 저격화기로 쓰는 경우가 있다고 자체가 쏴도 안에 들어가는 명중률을 가져서 가능하다고,sostoken 본격 저격용 리볼버,본격 저격용 리볼버 eostoken
234,지구상 먹이사슬의 최정점 사마귀,곤충 애초에 곤충따위와 사마귀를 비교하는건 말이 안됨 어류 물속에 있다고해서 사마귀를 피해갈수 있는건 아님 양서류 개구리 존맛 파충류 너그롭고 자애로운 사마귀님이 먼저 선빵이라는 패널티를 줘도 파충류는 이길수가 없음 조류 빠르게 날아다니는 벌새도 당랑권 앞에서는 한없이 느림 포유류 람쥐썬더님 만세,sostoken 지구상 먹이사슬의 최정점 사마귀,지구상 먹이사슬의 최정점 사마귀 eostoken
235,한강사건 근황,방구석 코난들 열심히 욕하면서 추리하다가 고소먹고 변호인단이 합의금 지불의사있냐 하니깐 협박이라고 청원올림 한줄요약 살려줘,sostoken 한강사건 근황,한강사건 근황 eostoken
236,내가 꿈꿨던 직장 여상사와 현실,이상적인 여상사 이성적으로 일처리 잘하고 반할정도로 대화방식이 부드럽고 친절함 업무 능력이 매우 뛰어남 현실 여상사,sostoken 내가 꿈꿨던 직장 여상사와 현실,내가 꿈꿨던 직장 여상사와 현실 eostoken
237,아름다운 유부녀를 죽이는 조조,동승과 헌제가 계획한 암살시도를 막고 동승의 딸인 동귀인을 죽이려는 조조 헌제는 동귀인이 임신했으니 살려달라 애걸복걸하는중 동귀인만은 살리려고 열심히 뿅뿅하는 헌제 헌제의 면전에서 갑자기 칼을 뽑아드는 조조 겁먹고 놀라서 자빠지는 헌제 헌제는 칼을 들고 일어나지만 조비가 칼에 손을 올리고 몸을 돌려 헌제를 노려보고 옆에있는 조창도 언월도부여잡고 노려보며 꼽줌 이에 헌제는 칼을 떨어뜨리고 만다 헌제를 면전에서 모욕하는 조조 헌제를 무시하고 허저에게 비단끈으로 동귀인을 목졸라 죽이라 명령하는 조조 광경에 격분을 참지 못하고 일어선 한나라의 충신들 숨이 끊어진 동귀인 조창이 명령을 내리자 한나라의 충신들은 병사들 손에 죽어나가게됨 아들의 별명을 부르는 조조 똥씹은 표정의 순욱 관우 형님 유씨가 조씨였소,sostoken 아름다운 유부녀를 죽이는 조조,아름다운 유부녀를 죽이는 조조 eostoken
238,의외로 허세 자체인 음식,샥스핀 샥스핀은 아무 맛도 순전히 식감때문에 먹는 음식 젤라틴으로 만든 인공 샥스핀이나 잘게 백목이버섯으로 사실상 완벽한 대체가 가능함 젤라틴은 완벽하지만 가격이 비싸고 백목이버섯은 아무래도 버섯인만큼 식감이 완벽 대체는 되지만 굉장히 저렴함 상어는 생태계 최상위 포식자 하나기 먹이사슬을 타고 축적된 수은 중금속 오염 문제가 심각한 편임 몸에 좋지도 않고 가성비가 좋지도 않고 완벽한 대체제마저 있는데 그냥 내가 비싼 먹는다는 허세때문에 오늘도 수많은 상어들이 고통받고,sostoken 의외로 허세 자체인 음식,의외로 허세 자체인 음식 eostoken
239,너무 피곤했던 다이소 알바 실수담,엔샵 알바할 무렵 지친 몸을 이끌고 퇴근하는 길에 들린 편의점에서 점원이 어서오세요라며 인사하는 말에 반응해서 어서오세요 모든 상품이 엔입니다 라고 큰소리로 외쳤다가 정신을 차리고 냅다 튄적이,sostoken 너무 피곤했던 다이소 알바 실수담,너무 피곤했던 다이소 알바 실수담 eostoken
240,앤트맨과 와스프 영화의 깨알 디테일,영화에서 등장하는 박사의 연구실 크기를 작게 만든 휴대용인데 내부 전력을 듀라셀 건전지로 공급함,sostoken 앤트맨과 와스프 영화의 깨알 디테일,앤트맨과 와스프 영화의 깨알 디테일 eostoken
241,나가토로에서 선배에게 계속 여자들이 꼬이는 이유,현실로 대입하면 이정도 와꾸이기 떄문임 얼굴에 미술전공 여자에게 쑥맥 여자가 안꼬이는게 이상한 수준,sostoken 나가토로에서 선배에게 계속 여자들이 꼬이는 이유,나가토로에서 선배에게 계속 여자들이 꼬이는 이유 eostoken
242,전설의 모바일 게임 번역,궁수 방패 검사 검사 붙어서 고유명사화 된거니 괜찮다고 실드치는 사람들이 있을 있는데 일리오스 도끼의 교회 졸지에 자아가 사라지고 사물이 되버린 눈물나는 캐릭터 이건 현재도 안고쳐짐 얘네들은 고차원적으로 생각을 하고 번역을 애들이 아님,sostoken 전설의 모바일 게임 번역,전설의 모바일 게임 번역 eostoken
243,한강사건을 보니 떠오르는 사건,엘리베이터에서 귀신과 대화하는듯한 행동으로 한때 유명했던 엘리사 사건 그녀는 호텔옥상 물탱크에 알몸으로 발견되는데 탐정이라고 부르는 사람들이 출동을 하고 용의자를 특정함 헛발질 끈질기게 탐정들은 그를 용의자로 몰아감 그녀의 사망원인은 무었일까 그녀는 우울증과 편집증같은 정신성장애를 앓고 있었는데 여행중 처방받은 약을 제대로 먹지 않음 허무할 정도로 진실은 간단했음 탐정 인터넷 렉카들은 발광하는 인간들과 사실을 받아들이는 인간들로 나뉘었고 자신들이 살인자로 몰았던 사람에겐 사과한마디 없었다,sostoken 한강사건을 보니 떠오르는 사건,한강사건을 보니 떠오르는 사건 eostoken
