,제목,내용
588,김가연과 임요환 사이의 벽, 
589,일본 초등학생 사이에서 유행하는 귀멸 놀이.jpg,  
590,대기업에서 만든 공식 vpn,"      와! VPN을 구독하면 클라우드가 꽁짜!
    "
591,뜬금없이 한국 와서 결혼한 일본 톱스타,        
592,부모들은 경악하는 25개월 아기의 아침,25개월이라고?? 
593,원펀맨) 망할뻔했던 번역,"          역전 앞은 너무 얌전하고 교과서 같은 느낌이지 ㅋㅋ
    "
594,여직원…10년간 회삿돈 90억 빼내 생활비 탕진,원본출처 | http://naver.me/xGOtAUEK 
595,여자들이 싫어하는 선톡,    
596,전세계 BTS 불법 콜라보 근황,    
597,"옛날 목성, 요즘 목성.",          고화질 시대 되면서 연예인들 화장법 발달한 이유가 있었음. 
598,일년 내내 반팔만 고집하는 남자.jpg,    
599,여동생 샤워중에 잘못해서 화장실 들어간 오빠.JPG,오빠는 그래서 하마에 물려죽었데 
600,신개념 애완동물 입양.JPG,"                내가 갖다버린 고양이 키울려면 나한테 돈을 내놔라
    "
601,IOC 선정 최고의 운동선수 1위,"      펠레
        아이러니하게도 선정한 곳은 국제올림픽위원회 IOC였는데
  펠레는 단 한번도 올림픽에서 메달은 커녕 출전조차 한 적이 없다.
    "
602,미국 천만 구독자 유튜버가 갖고 있는 총들,원본출처 | https://www.youtube.com/watch?v=oa2VcmPci0Y 
603,주민등록증을 갱신한 아빠,원본출처 | 오유 
604,엄마!! 살려줘!!! 엄마!!!!!! 아빠!!!!!,"        아니 왜 직접 들어가서 울어 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  "
605,일본 여자에 대한 선입견,    
606,어떤애가 저희집 도어락 비밀번호를 자꾸 눌러요,원본출처 | https://youtu.be/SqIBCdGNj0g 
607,에반게리온을 처음보는 어머니께 한 설명.png,    
608,스윗한 시아버지.jpg,                                                                                오뚜기 함태호 전 회장 
609,남도형 성우가 말하는 한국 성우,원본출처 | https://www.youtube.com/watch?v=L-1qtOpR4fI 
610,아줌마들이 싫어하는 역할 맡은 배우 근황,"      마인 존잼 ㅠㅠ ㅠ
    "
611,"""체인점 하는데 맛집을 다 뺏겼어요 ㅠㅠ""","        생각해보니 그렇네 
  프랜차이즈가 맛집이될리가....
    "
612,180이상 키 차이 체감..jpg,    
613,도전골든벨 전설의 문제.jpg," 뭐야 '맛미' 아니었어??
  "
614,젊은이의 고독사.jpg,"  요즘 90년생 고독사가 늘어나고 있습니다.
이 글을 보고 있는 루리웹 형 누나들.. 힘들어도
참고 힘냅시다..!!
  그리고!! 오랫동안 연락안된 친구에게 소소한 관심을 주는건 어떨까요?
   
    "
615,8년전에 비트코인 사라고 한 유튜버 근황,"  칠레에서 자영업을 하며 오래전부터 유튜브에 간간히 투자관련 정보를 올리던 제레미씨
  평소에 금과 은 투자에 관심이 많았던 그는 뜬금없이 시장에 디지털금의 개념으로 나타난 비트코인을 알게 됨
          비트코인에 확신이 생긴 그는 유튜브에 제발 비트코인 사라는 영상을 하나 올림
          영상 내용
  비트코인은 이런이런거다
  1달러라도 챙겨서 비트코인 사라
  당신들은 10년뒤에 나에게 감사하게 될 것이다
  1달러 고작 1달러다 그거 잃어봤자 뭐 어떻게 되나?
  하지만 그 1달러가 니 인생을 바꿀거다 비트코인 사라
          그 이후 비트코인은 천정부지로 올라갔다
  그는 현재 어떻게 되었을까?
                      억만장자 엔딩
            물론 여러분들은 지금 사면 거지가 될 수 있읍니다 ㅇㅇ



    "
616,내성적인 여자의 남자를 잡는법.jpg,"        1. 권총을 들고 위협한다
            "
617,일본의 부담스러운 한 스시집.jpg,    
618,슬기로운 의사생활 속 은근 무서운 장면,    
619,약속이 존나 칼같았던 미국드라마.jpg,"     트윈 픽스 (1990 - 2017)
                                    시즌 2 마지막화에 이런 대사를 넣었는데
                                                    진짜 종영하고 25년 다 돼가니까 시즌 3이 나옴
    25년 후 스토리 "
620,강에 술 부으면 몰려오는 생명체들.gif,    
621,브레이브걸 의상 진짜 가슴이 웅장해진다,        
622,전기세 아끼려면 에어컨 25도로 맞추세요,    
623,술집 알바생이 느낀 손님별 난이도.jpg,        
624,엄마는 게임기 종류도 모르면서!,      컴보이라고 마마 
625,직장에서 신입사원들이 무기력해지는 이유.jpg,    물어보면 물어본다고 뭐라하고 안물어보면 안물어본다고 뭐라함 
626,카페에서 시비 털린 18살 여고생...jpg,    
627,군인 남편한테 장난치려고 숨어있는 아내　gif,          
628,혐)헬멧 안썼으면 즉사,    
629,20년만에 왕따시킨 동창한테 사과한 이유.jpg,"  평범한 직장인인 
   루이스 아먼드슨 씨는 
      10살 된 자신의 딸이 
   아빠는 학교에서 누구를 괴롭힌적이 있냐 물어보자 
  그 순간에는 당황했지만 
  딸에게 거짓말을 하면 안될것 같아서 그렇다고 대답함 
          그 후 자신의 잘못을 반성하고
    가족과 딸에게 떳떳해지기 위해 20년전 
   자신이 아무 이유없이 때리고 
  왕따시킨 차드마이클 모리셋 씨를 
   SNS에서 찾았고 과거의 일을 사과하고 싶다며 SNS 쪽지를 보냄 
            차드마이클 모리셋 
  그가 저에에 쪽지를 보냈더군요 
  같은 지역에서 살고 있으니 직접 만나서 과거의 일을 사과하고 싶다고..
   
     
      (가족들과 과거의 이야기를 하는 차드마이클 모리셋씨)
            여기였어요.. 아무이유없이 
  때리고 괴롭히고 오래전 일이지만 아직도 생각나는군요..
                  그는 그저 무시할수도 있는 문제였지만 
  자신을 괴롭힌 무리들중 20년만에 사과를 하러 온 친구라며 
  감동의 눈물을 흘렸다고함 

      차드씨는 
  루이스 아먼드씨에게 
 
  자신이 사과를 받아들인걸  딸에게 
  자랑스럽게 말하라며 
  사과를 받아줌
  ---
  님들이 이런상황이라면 
  받아주는거 가능?
    "
630,원작 그림체로 동인지를 그리면 안되는 이유,원본출처 | https://twitter.com/sangseek_kim/status/1405231793393967109?s=19 
631,넥슨의 이상한 관행.jpg,"            프로젝트 진행 하다 어그러지면 할 일이 없어짐
                정직원 이지만 다른 프로 젝트에 투입 되어 일하려면 이력서를 제출 해야 됨
                    분명 정직원인데 사내 구직자 신세가 되어 버리는 거임
                        "
632,'유튜버는 안받습니다' 노유튜버존 식당들 늘어나고 있어.jpg," 


홍보해주는 사람들이 아니라
가게를 망치는 대상으로 인식하고 있다고 함 

  "
633,코리안 밀크.jpg,    
634,미국에서 한국 이름으로 산다는 것,"                                                                                                      번역 출처 
https://www.youtube.com/watch?v=_ID4KILxYco
  원본 출처
https://www.youtube.com/watch?v=p1RKkRCiU90&t=0s
        "
635,"""밀짚모자. 당신은 무례한 사람이에요.""","     




(비장의 무기였는데....)




  "
636,여자들은 다 맞춘다는 6가지 여우짓.jpg,       아 
637,힝...그거 니꺼 아닌데...내건데...진짠데....,뭐. 
638,과장이 경계한다는 남자 유형.jpg,"    부러우면 운동하던가
  "
639,디시인의 정신과 상담후기.jpg, 
640,입안에 갑자기 싸버림.gif,    
641,악당만 앉을 수 있는 의자.JPG,    
642,못생긴 남자가 꾸밀필요가 없는이유.JPG,        국내 꾸밀필요없는 사람들 게시판  
643,김치 전문가도 못이긴다는 게임,"   
        의외로 아욱김치 없는거 같드라
  "
644,꼼장어를 만들어 먹어본 일본 유튜버.jpg,원본출처 | https://www.youtube.com/watch?v=xz5mJHKurLQ 
645,친인척 살해를 23번이나 저지른 흉악범.jpg,    
646,요즘 바뀌고 있다는 3D 횡단보도....jpg,    
647,마블) 마동석 엑조디아 완구 얼굴 재현도 근황,    
648,사람들이 은근 싫어한다는 명절 선물 best 5.jpg,    
649,배트맨이 불살을 포기하면 안되는 이유,"                               

                럭키 퍼니셔가 되기 때문
    "
650,"""부장님 지각사유서를 영상으로 제출해도 되겠습니까?""",                
651,미국 드라마 최악의 어머니.JPG,"      빅뱅이론의 베벌리 호프스태터
  주인공인 레너드 호프스태터의 어머니
  신경과학자이자 심리학자
    아들을 심리학 모르모트로 사용했음
  어느 정도냐면, 레너드가 8살 때, '콩에 클래식을 들려주면 성장에 영향을 주는가'에 대한 연구로 1등을 했는데
  1등 수상식에서 '얘 자기 형거 표절한 거예요'라고 공개적으로 면박을 줌
  실제로 레너드의 형이 '콩에게 로큰롤을 들려주면 성장에 영향을 주는가'라는 내용의 연구를 했지만
  레너드는 이것을 몰랐고,
  베벌리는 이걸 레너드의 1등 수상식이 아니라 그 이전에 얼마든지 레너드에게 알려줄 수 있었음
  하지만, 베벌리는 굳이 1등 수상식에서 레너드를 공개적으로 망신주었고
  이 때문에 레너드는 8살 때부터 다시 이불에 오줌을 싸기 시작함
    심지어 레너드가 어른이 된 시점에서도
  레너드의 반응을 기록해서 연구자료로 쓰려고 하는 등 기질이 바뀌지 않았음
    심지어 레너드가 보는 앞에서 유독 쉘든만 이뻐하는 등
  다 큰 레너드 앞에서 계속해서 가스라이팅까지 함
    미국 드라마에 수많은 어머니 캐릭터가 있지만
  가장 최악을 꼽으라면 단연코 베벌리 호프스태터를 꼽을 수 있음
        세줄 요약
  아들이 태어나자마자 심리학 모르모트로 쓰고도
일말의 죄책감조차 느끼지 않고, 다 큰 아들도 심리학 모르모트로 쓰는
최악의 미국드라마 어머니 캐릭터
  "
652,선 넘은 당근 근황,    
653,신동의 4200만원 짜리 애플 맥 자랑,"    가성비로 싸우지 마라 워크스테이션이다
 
  "
654,근래에 추가된 틀딱 판별기,"    본인 기립
  "
655,가족중에서 혼자만 오버하면서 먹는 타입,다른애들은 얌전한거같은데...... 
656,새로 나온 치킨을 본 어머니 반응,    
657,특이점에 도달한 백신반대론자,원본출처 | https://www.dogdrip.net/329987470 
658,고백도 안 했는데 차인 썰.jpg, 
659,닌텐도 코딩게임 근황,"            ""어제"" 발매된 닌텐도의 신작게임 차근차근 게임 코딩
  보다시피 코딩이라는 개념을 아주 간단하게 이해시키는 소프트로서
간단한 움직임을 직접 코딩해보고 놀이를 만들어보자는 취지인데
                                    하루만에 당연하다는듯이 둠 코딩됨
        "
660,의문의 연예인 현금 분실사건.jpg,    
661,"***:""박지성씨 표현의 자유를 고소로 맞대응하다니 실망입니다""",  (제발 한번만 봐주세요) 
662,지금 당장 입법해야하는 시급한 법.jpg,ㅠㅠ 
663,개 키우는 사람들의 가장 공포를 느끼는 순간.jpg,                
664,면접 자유복장이라매...jpg,"        너무 자유긴한데
  그 누구도 옆에 있질 않는다
  "
665,와 ㅆㅂ 이거 개세끼네 (약혐),"  미국에서 911에 전화가 옴
        911:뭐가 떨어져 나갔다고요?
      피해자:눈꺼풀이요
      키우는 개가 물었어요 
      미국에 한 여성이 자신의 생일날 자신이 키우는 개세끼 한데 
  물려 눈꺼풀이 떨어져 나감...
  그리고 그 개세끼 종이....
                            치와와
    이거 진짜 개세끼네 
  "
666,대한민국 양심 직종 어벤져스....jpg,    
667,호불호 갈리는 간판 규제.jpg,"                                            일본의 관광 수도, 문화 수도로 유명한 교토 시에서는 
    차분한 도시 경관을 유지하기 위해 
    시 차원에서 도시 안에 있는 모든 간판들을
    저시인성, 저채도 간판으로 엄격하게 규제하고,
    건물들의 색상 역시 소방서 등 특수한 경우를 제외하면
    최대한 저채도를 유지해야 한다고 함. "
668,여초 사이트 더쿠에서 욕먹고 있는 브레이브걸스,"                                                              https://www.donga.com/news/Culture/article/all/20210609/107338336/1
                이건 용형이 잘못했네 
        "
669,나이 40에 쥬지쮸 배운 아재.jpg,    
670,상처가 다 나았구나! 자연으로 돌아가렴!,"         시러용
웨용
안갈레용 

    "
671,마술 트릭 大공개　gif,          
672,건빵맛이 그리우셨던 아버지.jpg,   확실한 방법이긴 한데... 
673,후방주의) 사정 참기 난이도 10단계,          앗..실패했다.. 
674,싸이월드 근황,"    2. 저화질 사진 고화질로 세탁해주는 기능 추가
                      그리고 영원히 고통받는 채연누나ㅠ (뉴스에 저걸 내보냄ㅋㅋ)  "
675,20학번 여대생의 동기의 정체.JPG,시불 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 
676,제주도 연돈 사장님의 위엄,    
677,압축되서 배달된 매트리스가 위험한 이유,    와 ! 사람이 증발하는 마술 
678,이더리움 200만원 방어선 깨짐,"   
이제 백만원대

내려가즈아! "
679,표정관리 실패한 기자들.jpg,    
680,행사 뛰고 기획사가 40퍼센트나 떼가면 뭐가남냐?,"    주인밖에 모르는 강아지가 남는다 이말이야
  "
681,충격적인...요즘 사람들...평균 떡락.jpg,            
682,중국에서 무단횡단하면 받게 되는 흔한 처벌.gif,"   신호 무시한 사람의 이름, 얼굴, 신분증 번호까지 공개처형하고 사회신용점수에 반영 "
683,피씨방 오픈후 주변 피씨방 4개를 망하게한 사촌형,    
684,월급 180만원짜리 도우미 구인 글,    
685,컴부품 가격을 싯가로 받는 이유.jpg,"어시장에서 팔기 때문임
  "
686,헬스장에서 게이를 구별하는 방법 . JPG,"핑크덤벨 - 게이아님
  백익스텐션 - 게이아님
  딥스 - 게이아님
  랫풀다운 - 게이아님
  루마니안 데드리프트 - 게이아님
  탈의실에서 덮침 - 씹게이임 "
687,전투식량 리뷰하던 외국인 유투버근황.jpg,   다시는 중국을 무시하지 마라 
688,200kg짜리 악어 뱃속에서 나온것,"        보브캣 발톱
강아지 인식표 5개 (전화해보니 24년전에 잃어버렸던 강아지)
점화플러그
탄피 등
  "
689,5인 개발로 대박난 발하임 근황,"      게임 사준돈으로 말샀음 ㅎ
업데이트 좀 제발 "
690,일본사람들은 모르는 한국식 회초밥,    
691,컷트+다운펌 45000원,"        번창이고 뭐고 십창이 내다보이는 가게의 미래
    "
692,편의점 흡연남.GIF,원본출처 | http://web.humoruniv.com/board/humor/read.html?table=pick&pg=0&number=1068454 
693,돈아낄려고 지방만 먹은 디시인,   엌ㅋ 
694,이웃집 여자를 때려죽였다는 살인범의 최후,살인범이라고 사형시켰는데 사실 아니었고 
695,개콘 폐지후 kbs 개그맨들이 하는 일.jpg,                  트로트가수로 전향함 
696,가짜 창문으로 기분 내기,    
697,작품명 '흘러내리는 주가',"  모던 아트 그자체
    "
698,너무 놀라서 쩌는 척 하는것도 까먹음,사...사실 의도한거임! 
699,친오빠에게 콘돔 끼라는 여동생...JPG,    
700,오타쿠 35세 남성.jpg,"     
                             
          "
701,입사한지 1년도 안 된 신입이 퇴사했습니다.jpg,        
702,압축률 쩌는 식물.gif,    
703,30대 이집트 남성과 결혼한 80대 영국 여성,원본출처 | https://news.v.daum.net/v/20210529053102993 
704,피자에땅 논란,"      지1랄하지 말고 피자 양 돌려놓으십쇼
    "
705,호제던 2 여주외모 북미커뮤 반응.jpg,"  ""왜 미국인들은 매력적인 여캐를 싫어함? ""
""두들겨 맞은거 트론(트젠 관련용어) 같아보임""
""존 트라볼타 처럼 생김"" "
706,샐러드 3주간 먹은 후기.JPG,풀만 먹으면 배 금방 꺼지지 ㅋㅋㅋ 
707,일본에서 신분제 폐지에 가장 반발한 계급층,"          억눌리는 입장일지언정 나보다 밑에 있던 놈이랑 동급 취급은 못참겠음
    "
708,서울대에서 흔한 사람들.JPG,원본출처 | https://theqoo.net/square/587913459 
709,부사관 나이별 얼굴,  이거 진짜임 
710,탄산수 한박스 주문했는데 1병만 온 이유.jpg,        
711,인스타툰 대량 표절 사태.jpg,    
712,전설의 헬스장 사장님 . JPG,    
713,의경 부조리가 단 한번에 없어진 사건,    
714,옛날에는 여성 혐오 진짜 심했다...,"  여백사도 죽이고
여포도 죽이고
서주에 있는 여씨성도 다 죽여버림
여씨 성에 원한이라도 있는듯 "
715,나이별로 보는 수류탄 인식.jpg[, 
716,미군이 레일건 프로그램을 포기하려고 함,원본출처 | https://www.thedrive.com/the-war-zone/40875/the-navys-railgun-looks-like-its-finally-facing-the-axe-in-new-budget-request 
717,6년 전 집 마당에 구멍을 파기 시작한 남자 근황,                                        
718,올림픽 콘돔 썰.jpg,    
719,요즘 한국 간판 특징.jpg,"      디자인면에선 되게 세련되고 좋은데
  너무 심플하거나 긴 간판의 경우엔
  실제 상호명이 뭔지 모르는 경우가 많아서
  지인한테 지도 찍어주기가 힘듬..
  "
720,고딩 동생 말투가 너무 어려운 언니.JPG,개어렵네 ㅋㅋ 
721,다이어트 중인 여친에게 위꼴짤 보냈던 남친.jpg,    
722,공중파 삼겹살 논란.jpg,      4인이 먹는데 4인분 사와서 논란 
723,게임 하다가 아빠한테 훈수 듣고 속상한 아들,"        훈수를 둔 이유가 있었다..
  "
724,IT유튜버가 쏘아올린 인터넷 속도 논란 결과,"    현재 이통사 기준 : 최대속도의 30% 나오면 정상임
->
정부권고 약관개선안 : 50% 만 나오면 정상임
    이 새1끼들 기업을 너무 ㅈ밥으로 보는데
최저임금 정해놓으면 ""적어도 이만큼은 줘야지"" 가 아니라
""무조건 최저임금"" 이 절대다수이듯
  50% 부터 정상임을 걸어두면
무조건 50% 제한 걸어둔다고 뿅뿅들아
    근데 그 와중에 이통사 관계자들은 이것도 불만이라고 함
  "
725,LG전자 모바일 근황 .JPG,원본출처 | https://www.asiatime.co.kr/article/20210615500289 
726,물이 만능 특효약인 이유,    
727,쿠팡에서 반품 그만하라고 연락옴.jpg,  ?? 
728,미친 게임 아니야 이거!!,                
729,펭수 근황.jpg,        백신 맞고 마스크 벗음 
730,북유럽으로 시집간 여자의 삶,    
731,콜라를 매일 물대신 마신 초등학생의 손,"      수화사 선생님 표정
  아홉살 이라고 함 "
732,최단거리에 미쳐버린 지도앱,"  오리배...킹정할 수 밖에 없다
    "
733,노란통닭 선 넘네,"  선 넘네...
  "
734,아들에게 게임기를 사줘야만 하는 이유.JPG,천잰데? ㅋㅋㅋ 
735,대한 황제가 폐위된 이유,"  아내몰래 pc방 갔다 잡혀서
  "
736,통찰력이 좋은 의사.jpg,  뉴비쉑 출입구라고 했어야지 ㅋㅋ 
737,딸이 사고 친 기념으로 맘스터치 데려가는 짤,"      엄마 : 야이X
  "
738,오뚜기 죽음의 수레바퀴.jpg,    
739,동정 주제에 성인만화를 어떻게 그려 ㅋㅋㅋㅋ,"  동정 주제에 성인만화 같은 거 어떻게 그려ㅋㅋ"" 따위의 소릴 하는 사람에게는
  ""원피스 작가는 해적입니까?"", ""드래곤볼 작가는 사이어인입니까?"", ""블리치 작가는 사신입니까?""
  ""죠죠 작가는 파문과 스탠드를 쓸...
  ....수 있어... 아마도...아라키 선생이라면 분명히 쓸 수 있어...""
      
  지금
에이자의 적석이 어딨는지 알어? 모르지?
아무도 모른다는게 바로 아라키가 숨겼다는 증거여! "
740,도도한 수컷의 구애행동,    
741,11년전 오늘 일어난 사건,    
742,현역 안가려고 고의로 굶어서 살 뺀 20대 유죄,"    신검 전에 172.5cm / 53kg 의 마른 체형이던 A씨
하지만 BMI공익 기준인 16을 넘긴 17.81 이라
현역병 대상이었고, 한달간 극단적인 체중조절을 통해 감량에 성공
    1차 신검때
키 172.5cm 체중 47.7kg 으로 
BMI기준 미달이었지만
불시재검 대상으로 등급보류가 되었고

이후 51kg 까지 체중이 증가하면서
BMI기준을 넘겨 다시 현역병 대상이 되었는데
  불시재검 통보가 오자 나흘간 굶어가며
다시 48kg 까지 감량해 최종 4급 판정을 받았다.
    하지만 전후기록들이 현역을 피하기 위한 체중조절이 목적이었던 것이 드러나
결국 유죄로 판결났고 A씨는 현역병 입영 대상이 되었다.
      참고로 예전 판례 중에는
일부러 살을 찌워 공익 판정을 받은 피고인에게
피고인은 초등학교때부터 이미 비만이었다며 무죄판결이 내려진 적이 있음 "
743,남편이 내 손 족발 같대,    
744,문신 vs 무인.jpg,                
745,한국인이 남극의 추위를 느껴보는 법,"  철원에서 살아남기
    "
746,간첩 의심받는 일본 여고생.jpg,"    한국이면 군필여고생이라 문제 없었을텐데
  "
747,어떤 회사의 이색 복지, 
748,열차 폐차 방법.jpg,"                  존나 찢고 벌려서 허벌로 만든후 고철로 팜
  "
749,일본 부부싸움 다음날 도시락.jpg,"くそ : 쿠소 = 시발,shit 의 의미로 쓰는 욕

   밥이랑 풀때기 반찬들임ㅋㅋ

       밥 밑에 고기 있음
            "
750,신입작가들이 네이버 웹툰 본사를 방문하면 목도하는 것.jpg,    
751,원주민이 말하는 인생 최고의 행복...jpg,                    
752,북두의 권 흑역사.JPG,"  매드맥스 따라했는데 너무 따라함.
  오마쥬가 아니라 베꼈다 해도 과언이 아닐 정도. "
753,약혐주의) 현재 해외에서 유행중인 Think 밈,"주의! 인빈시블의 스포를 보기 싫으면 뒤로 가시오.
              아래는 그 다양한 패러디짤들의 모음이다.
    이외에도 많이 나오고 있다고 한다..
                "
754,혐주의) 충격적인 대륙 교통사고," 
 수위가 높으니까 심장약한 사람들은 뒤로가기 누르는거 추천 "
755,힘조절 잘하는 오공.gif,    
756,힘조절 잘하는 오공.gif,    
757,인도 사람들이 한국에 오면 가장 경탄하는 대한민국의 선진 문화.jpg,"바로 화장실 문화임. 어느 나라가 선진국인지 아닌지를 가늠하는 지표 중에 하나로 평가되는 것이 바로 화장실 문화이거든.
개발도상국에서 살다가 한국에 온 사람들이 가장 놀랍게 여기고 대한민국의 선진적인 문화라고 생각하는 것이 바로 위생이 깨끗한 화장실 문화임.

특히 인도인들은 한국에 오면서 이 부분을 가장 놀랍게 여기는 부분이 바로 이 부분인데, 인도에서의 위생과 화장실 문화를 생각하면 그럴 수 밖에.
사실 한국의 화장실 문화도 1990년대 후반부터 대대적으로 개선해나가기 시작한 것이 지금에 이르게 되었으니 이렇게 된 것이 20년이 조금 넘었지. "
758,카톡프사 바꾸다가 엄마한테 혼남.jpg,   정성스럽게 멕이네ㅋㅋㅋㅋ 
759,이케야 강화유리 장식장 폭발.,"                새벽 두시반... 자고 있는데 집에서 펑 하는 파열 음 후 우수수 쏟아지는 소리가 들려서..
잠결에 ""냉장고 문이 열려서 얼음이 쏟아진건가"" 하는 말도 안되는 생각으로 나와보니....

아래와 같이 데톨프 장식장 옆면 강화유리가 터진상태. 

[단독] 이케아 수납장 강화유리 ‘펑’ 또 폭발…“우리 잘못 없어” (inthenews.co.kr) 

피규어 유리장이 폭발했습니다! | 피규어 이야기 (ruliweb.com) 

샤워실 강화유리 폭파 사례는 많이 들었지만 실제로 당하니 황당하고..
검색해보니 위처럼 동일 제품 (데톨프) 많이 발생하는듯.  해외 유튭보니 뭐 조립하다가도 펑.
 
정황컨데..

1. 에어컨 앞쪽으로 이케야 장식장을 옮긴건 올 초. 
2. 그 뒤 에어컨을 동작한건 어제 19~21시.  31도 인 실내를 27도까지 낮추고 껐음.
3. 폭파 시간은 2:30분.

....아마 에어컨 찬 바람에 강화유리에 데미지? 가 들어가고..
그게 밤에 터졌다? 흠... 

한참 레고 취미때 산거니 2015년 말이나 2016년 초에서 산건데, 
4-5년 잘쓰다 에어컨 바람 한방에 터졌다는 것도 이해가안가고.. 

어째튼 1시간 자다가 마눌님과 치우고, (생각보다 비산거리가 엄청나고..
기사보니 이케야 측에서는 뭐 강화유리 파손 조각은 안다친다고? 
처음에 장갑 안끼고 치우다가 손 발 여기저기 유리 부스레기에 찔려서 고생했음. )
썩을 장식장은 4층부터 1층까지 끙끙거리고 내린다음 구청 폐기물 스티커 인터넷으로 발급 받아서 내일 폐기처분할 예정. 

오래되기도 했지만.. 이케야에 당연 보상은 바라지 않지만,
안전 문제인데,  뭔가 압박은 하고 싶음..  
  위 예를 보니 뭐 저런 사고 (2020년 11월 터진) 에도 
이케야 측은 ""강화유리 불량이 발생하면 그럴수도 있다(?)"" 라고 배째는 수준이라던데.. 
소보원에 넣으려도 뭐 딱히 보상을 바라는 것도 아니다보니, 어디에 올려야 
이케야 쪽에 안전성 문제에 대해서 이의 제기가 가능할지 아는 분 있음 팁좀.. .

어째튼 가족 다친사람 없는게 천만 다행이고 (너절한 장난감 보시듯
두 애들이 자주 노는 공간인데) 일단 한숨 자고 고민좀해야할듯.
    새벽 두시반에 깨서 한시간 반 쓰레기 장식장 치우느라 개고생한 내꼬라지가 유머.
내일 일은 어떻게 하나;; 빨리자야지 
  저렴해서 루리웹에서도 각종 장식장 (특히 피규어) 로 많이들 쓰는거 같은데..
뭐 다들 조심.  "
760,강남역 민폐 논란,"  난 지랄 한다고 욕하고 간다
  일단 초상권 침해 먹고 들어가고 "
761,"주,,,주인아 항복","  휴먼의 지구력 맛좀 봐라!
    "
762,아재 판독기 취급 받지만 나름 심오한 물건,   그냥 대충 만들어진 거 아님 
763,딸아이 과외쌤이 잘생겨서 고민...jpg,                                                            다음날 그 과외쌤한테 소개받은 그림 과외쌤 
764,외식하고 자기 카드 주는 여자,                
765,한국인들의 언어능력에 감짝 놀란 외국인,                
766,5분만에 돼지 원산지 확인하기,"                국내 모든 돼지는 돼지 열병 백신을 맞는데
  돼지고기의 항체를 검사해서 국산인지 확인하는 방법이라고 함
  결과가 5분만에 나오기 때문에 현장에서 바로 가능해서 증거 인멸 가능성 대폭 감소
  정확도도 기존 방법에 비해 10배 이상 높아짐
  근데 난 돼지 열병 백신 안맞아서 외국산 뜰듯
    "
767,22살 고졸 7급 합격 레전드 . JPG,    
768,현실적인 스트리트 파이터,"      얘 너 지금 뭐 하니? 타임이 어딨어 타임이! 
  약발이 참 좋단다. "
769,4차까지 간 다음날 풍경,"살아있는 사람이없네ㅋㅋㅋㅋ 




...? "
770,우유 유통기한을 만든 사람.jpg,        
771,요즘 국내 가구 업계 근황,원본출처 | https://youtu.be/mA5DnQCbh8o 
772,차뽑은지 두달만에 폐차시킨 사람,"모두를 살리기위한 폐차
    "
773,인간의 몸에서 나왔었던 가장 큰 촌충.jpg,"    총 길이 : 382cm
  원산지 : 바이킹의 나라 스웨덴
  발생 원인 : 생으로 뜯어먹은 생연어(추정) "
774,인간을 달로 보내던 시절 코딩방법.gif,        
775,한강에 실족사가 많은 이유를 이해할 수 있는 무도 짤.gif,"    밤에 어두워서 땅이랑 물이 구분이 안 감
정형돈은 술 마신 상태도 아니었는데 한강 안 얼었으면 그대로 빠질 뻔함
    "
776,패러디 쓰다가 회사에 잡혀간 작가.jpg,원본출처 | https://gall.dcinside.com/mgallery/board/view/?id=genrenovel&no=2855436&exception_mode=recommend&page=23 
777,졷간이 작살낸 생태계를 가만히 냅두면 안되는 이유,원본출처 | https://m.dcinside.com/board/gfl2/5233947?recommend=1 
778,연간 이용료 500만원짜리 범죄용 암호메신저 근황,"            ANOM 이라는 암호메신저는 2018년 만들어졌으며
일반적인 설치방법으로는 앱 설치 자체가 불가능해서
앱이 설치된 스마트폰을 따로 암시장에 구매해야 했으며
  초대코드가 있어야 가입해서 사용할 수 있었으며
반년간 250만원씩, 즉 연간 500만원을 지불해야 사용할 수 있는 매우 특별한 암호메신저였다.
  암시장에서 이 앱이 설치된 스마트폰을 구매해 앱을 실행해봐야 계산기 처럼 작동했는데
특수암호를 입력해야만 비밀메신저로 다시 실행되며 작동했다고 한다.
  시간이 지나 전세계의 범죄조직들이 광범위하게 이 앱을 사용했으며
지도를 보면 알겠지만 한국에서도 사용자가 있었음.
    하지만 이 앱 자체가 FBI를 주도로 한 유럽, 호주 연합 경찰의 함정이었으며
암호화된 채팅과 사진 내역들을 복호화 할 수 있는 키를 FBI가 가지고 있었다.
  앱이 설치된 특수 스마트폰 12,000대와 2700만건의 메신저를 조사해
  300개의 범죄단체가 적발, 800명이 구속
  마1약 38톤, 고급 자동차 55대, 총기 250정, 한화로 535억원의 현금 및 가상자산을 압수함
    "
779,성능 확실한 자동차 왁스,"  RTX ON
  "
780,덮밥 슬롯머신,    
781,호불호 갈리는 고기 굽기,원본출처 | https://youtu.be/kRHbXzOXw7w 
782,""" 멈춰 ! "" 짤의 진정한 시초 . JPG",    
783,죄송해요 마스크가 없어서 손으로 가릴게용.gif,  헙! 
784,인간 뇌 1㎣의 3D 지도가 공개됨,원본출처 | https://newatlas.com/biology/google-harvard-human-brain-connectome/ 
