,제목,내용
1067,초딩때 재밌게 본 드라마 있음??,"드림하이
해를품은달
하이킥


대충 생각나는 이것들하고 주말드라마 조카 재밌게 봤지 거의다 봤는데 이름 생각안남 다 시청률 30~50%였자나
아 근데 나 걔네 팬도아니었는데 드림하이 개열심히 봄 ㅋㅋㅋㅋㅋㅋ 그 목걸이.. 갖고싶어서 문구점에서 뽑기도 열심히하고... 그 목걸이 있었는데 잊어버림 ㅠㅠㅜ


+각시탈 시크릿가든 내여자친구는 구미호 이것도 개열심히 봄 "
1068,유명아이돌소속사 갑질에 화가난 경호원 인스타,조카 싸가지없다 누굴까 
1069,ㅋㅋㅋㅋㅋㅋ 이게 사생이래, 누가 보면 친군줄 
1070,아내의 과거로 고민중입니다,"친한 동생이 술먹으면서 고민 상담했던 내용입니다.
저한테 충고를 바라는데 저도 어떻게 말해야 할지 몰라서
이곳에 조언을 구합니다

동생은 30대 중반인데 와이프와는 동갑에 결혼 2년차 접어들고 있는 상태이고 맞벌이에 알콩달콩 친구처럼 지내고 아직 아이는 없는 상태 입니다.

와이프랑 같이 술을먹고 이런저런 이야기하다가 과거 이야기 나와서 동생이 첫사랑 이야기하고 와이프도 자기 과거 첫사랑 이야기 했는데 내용인 즉슨

동생 와이프가 결혼전 유부남이랑 사귀었는데 그게 상대측
와이프한테 들키고 결국 유부남 이혼후 유부남이람 2년정도 동거 했다고 합니다. 당시에는 그 유부남 애까지 데려와 키울려고까지 했었는데 결국은 유부남이랑 헤어지고
지금 동생 만나서결혼했고 그 유부남이 와이프의 첫사랑이라 이야기 했답니다.

서로 첫사랑 이야기 하면서 서로 그걸로 문제 안삼기로
했었는데 동생이 순간 욱하여 와이프한테 그건 아름다운
첫사랑도 아니고 너는 가정파괴범이고 추악하다고 했답니다.

그 순간 동생 와이프 눈돌아가서 동생한테 달려들어 할퀴고
때리고 동생도 와이프가 너무 죽기 살기로 달려드니 방어 할려고 손지검까지 했답니다.

그 이후 두부부 냉전중이고 이혼 이야기까지 나오고 있는
상태입니다.

동생왈
가정파괴범이니 추악한 과거니 이런 심한
말들을 사과하기를 와이프가 바란다고 합니다

과거일 때문에 동생은 지금 결혼생활을 깨지기를 원하지
않지만 와이프한테 사과해야 하는지를 물어보더군요

동생은 와이프의 과거가 가정파괴이고 추악하다는 생각에 변함이 없다고 합니다.

가정을 지키기 위해 그냥 잘못했다고 용서를 구해야하는지 아님 끝까지 자기 생각이 옳다고 하고 와이프가 인정하게 만들어야 하는지 몰겠다는군요.

전 그냥 왜 어리석게 첫사랑 그런 이야기 부부 사이에 하냐고 말만 해주고 말았습니다만 동생이 너무 고민하는거 같아서 여기에 글 남겨봅니다 "
1071,추가 )유튜브 초딩 댓글 따라해봄,"1.말꼬리 늘리기
ex)뫄뫄 해주세요오ㅠㅠ

2.자기비하
ex)뫄뫄님 완전 금손ㅠ 제손은 똥손이여서 잘 못해요...

3.폭력
ex)뫄뫄님 화장품 진짜 만으시네요....혹시저 하나ㅁ..(퍽!)

4.반모
ex)혹시 초반인데 반모 될까엽...

5.자기 썰+tmi 주저리 써놓기
ex)앗 저는 저번에 엄마가 저거 사오셔서 먹어봤는데 맛있었어요!


+ 와 자고 일어났는데 톡선이네 톡선해본지 좀 오래됐는데 땡큐~ 더 추가할게

6.했다죠
사실 이거보고 밤에 빡쳐서 이 글 쓴건데 쓰다보니까 까먹음 댓글보고 기억났다 땡쓰
개인적으로 난 이게 제일 싫음 진짜 찐따같아..
ex)어제 밤에 늦게들어가서 엄마한테 혼났다죠...

7.영상/댓글 이해못함
ex)뫄뫄 그룹 초창기때 노래 가사 개웃김ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
ㄴ뫄뫄 그룹 팬으로서 기분이 나쁘네요 댓삭 부탁드립니다

8.거지
ex)와 ㅇㅇ님 안쓰시는 화장품 많으시면 저 주면 안 돼요? 저 부모님이 화장품 안사주는데 갖고싶어요

9.맞춤법/띄어쓰기 파괴(내용도 좀 이상
ex)뫄뫄님이솨솨회사제품이마음에안들시면거기보다더낳은제품만들면제가문위해드림

10.너 초딩이지?
싸우다가 꼭 할말 사라짐 or 처음부터 초딩이냐고 함 근데 대부분 이 말 먼저 꺼내는 사람이 초딩인 경우가 많음

11.정보충(더보기 란에 다 있고 영상에도 나오는데 ㅇㅈㄹ)
ex)바르신 파데 몇호고 얼마에여?? "
1072,고삼들 공부 자극 하고 가자,나 왤캐 공부 안 하지 
1073,+추가) 오랜만에 망상짤 파티한다 들어와 2탄,"곧 여름방학도 끝나가겠다 망상짤파티 시작
첫 출근날 정장입은거 멋있다고 흘리듯 얘기했는데 그 얘기에 꽃혀서 하루종일 저러는 친오빠


계속 붙잡는 남친을 뿌리치고 헤어진 다음날 후회하며 혹시나하는 맘에 남친을 보지만 한번 쳐다보고는 쌩 지나가버리는 남친

mt에서 몰래 나가자며 신호보내는 남친

오늘 새로 산 귀걸이 자랑하려고 영통 걸었다고 하니까 귀걸이 꺼내기도 전에 너무 이쁘다는 남친
수련회 둘쨋날 아침 집합하라는 소리에 허겁지겁 준비하고 강당으로 내려갔는데 언제 온건지 제일 먼저 도착해서 비몽사몽하게 서있는 남사친

학과 회식때 술마시다가 남친과 헤어진지 별로 안 된 상태라 갑자기 감정이 북 받쳐서 울었는데 앞 태이블에서 술 마시던 남친이 내 울음소리에 뒤돌아보는거

친구들이랑 놀기러한 날 친구 중 한명이 어린 남동생 한명을 데리고 옴. 귀여워서 놀리려고 여기 누나들 중에 누가 제일 이뻐? 물어보니까 ㅇㅇ이 누나요 하고는 부끄러워서 얼굴 빨개짐


+) 톡선이네 얘들아 고마워♡ㅜㅠㅜㅠㅜㅠ게다가 베댓 다 내가 썼어 너네들이 좋아해줄 몰랐는데 재밌어 해줘서 기분좋당ㅎㅎ 그리고 본문에 썼다가 지운 글 다시 보고 싶다는 애들이 있어서 다시 올리고 갈게!

내가 앞에서 애교부렸더니 아무것도 안 보인다는 남친

수련회 레크레이션때 반에서 제일 잘생긴 사람 나오라는 말에 본인이라며 뛰어나가더니 여기에 좋아하는 사람있냐는 질문에는 부끄러워하며 얼굴 붉히는 날 좋아하는 남자애

오빠가 축구도 해요? 물었더니 한번 보여줘야겠다며 장난스럽게 웃는 내가 짝사랑하는 선배

_
나머지는 어딨는지 모르겠어ㅜㅜ미안 짤이 너무 많아.. "
1074,제왑돌팬은 제왑 일 못한다고 안한다 : 제왑본부제,"타팬: 이게 먼 개소리임??? 제왑은 전지전능함? 
왜 일못한다고 말 안함?

제왑팬: ㄴㄴ 제왑 본부제때문에 그래....


제왑? 본부제? 그게 무슨 소리?
연예 기획사가 다 똑같은거 아님?



제왑팬: ㅎㅎ 한번만 들어봐 제왑돌이라고 다 같은 제왑이 아님
17년도 말에 떡고는 제왑을 본부제로 개편함

 그전까지만해도 타기획사처럼 

홍보팀은 홍보, 컨텐츠팀은 컨텐츠식으로 운영함

갓세븐 나오면 홍보팀이 홍보하고 
컨텐츠팀에서 컨텐츠 내보내고.

but, 케어하는 가수가 많아지고 업무가 많아지면서
회사가 과부하가 오기 시작함 (일 개못했단 소리)

 그걸 깨달은 떡고는 

트와이스 TF팀을 만들어 실험해봄

TF팀이란? 단 하나의 아티스트만을 위해 팀에서
홍보. 마케팅, 매니지먼트 담당을 모두 총괄

한마디로 트와이스일은 TF팀에서 모두 담당하는 실험을 했고

결과는 대성공.

 그래서 떡고가 제왑을 3본부로 개편함



1본부- 투피엠, 스키즈
2본부-갓세븐, 있지,유빈,혜림,박떡고
3본부-트와이스,수지
스튜디오제이-데이식스,백아연,박지민,백예린,낙준(버나드박)




제왑 본부제 - 제왑 테두리안에 기획사가 여러개 있는 거

각 본부마다 전담한 아티스트가 있어서 
그 아티스트 관련은 해당 본부에서 총괄함



각 본부는 하나의 회사처럼 
마케팅, PR, 매니지먼트, 컨텐츠 등 
모든 업무를 수행. 

단 노래 프로듀싱은 A&R 본부로 변함 없음.



 
그래서 제왑파는 팬들은

제왑 일 못한다 (x)
n본부 일 못한다(o)

라고 함



절대 일잘해서 일못한다 말 안하는거 아님ㅋㅋㅋ

ex) 2본부 일해라, 3본부 일잘하니까 낯설다, 1본부 떡밥내놔


같은 제왑돌덬이어도 본부가 다르니 
제왑돌덬끼리는 
서로 자기본부에 대해 일 개못한다 불평불만하고
타본부가 잘하는거 있으면 우리본부 가서 배워왔으면...함

일하는 사람이 다르니까 아예 다른 회사라고 봐도 무방


그럼 어떻게 다르냐? 궁금해 할 덬들을 위해 

본부별 장단점및 특색 알려줌,,


제 1본부
  

대표 아티스트 - 투피엠, 스트레이키즈


장점: 덬잘알콘텐츠 많다. 영상퀄리티 굿. 플랜 잘알려준다
단점: 뒷심부족하고 센스없어서 하고도 욕먹음





 1본부는 카더라로 
원래 제왑 위에서 일하던 사람들이 많이 있는 본부라고함


스키즈한테 하는거 보면 


자체컨텐츠 많음 
(슼과슼, 투키즈룸, 슼토커 제 9구역 등등... ) 

1본부만 weekly 플랜이라고 그 주의 떡밥 정리해서 뭐나올지 알려줌

1년 단위 플랜도 영상 만들어서 알려줌
https://youtu.be/6f3uy8EgJUM





 이런 콘텐츠들 덕분에
 눈팅도 많이하고 계속 관리해주려고하는 거 같기는 한데 
센스가 없어서 뭘 하고도 욕먹는 경우가 있다는듯


제 2본부

   대표 아티스트
- 갓세븐, 있지, 유빈, 혜림 박진영



장점 : 자체컨텐츠 초반에 잘줌, 유튜브 자막 n개국어로 달아줌, 
공트필터 예쁨, 생일축전 디자인 괜찮음, 4k로 영상 올려줌

단점: 초반에만 잘줌 부익부 빈익빈, 
브이앱 상대적으로 덜함



-안무영상 각잡고 찍음





자체컨텐츠는 
앨범 준비과정이랑 음방 비하인드, 녹음하는 영상 등등 올려줌


유튜브 영상 올리면 해외 국가별로 자막 다 제공함. 

뮤비볼때 가사 쉽게 익히라고 
영어 스페인어 일본어 아랍어 대여섯개는 동시에 제공함 

이번 갓세븐 유닛 뮤비는 7개국어 제공.

그래서 리액션보면 프랑스 팬들이랑 러시아 팬들이 
우리도 분발해서 자막 따내자 이런 얘기한다고함

자체컨텐츠 측면에선 리얼리티도 꽤 많이하는 편이고,
채플에 개인컨텐츠, 딥디대신 부가영상 풀어줌

또 안무영상 각잡고 외부스튜디오에서 제대로 찍고 
버전별로 안무영상이 있음





BUT 앨범 발매 초반에만 컨텐츠열일하고 

뒤로갈수록 뒷심부족해서 잘 안올려주고 
셀카 한장 주는 경우 있다고함

시상식 비하인드 같은거 못챙기고
(1, 3본부 다올라 왔을때 2본부만 안올라옴) 

브이앱 덜시켜서 아쉽다고함

그리고 시즌 그리팅 안내줌


제 3본부

 대표 아티스트 - 트와이스, 수지

장점: 브이앱 활용도 높음, 시상식비하인드 잘올려줌

단점: 유튜브 자막 안달아줌, 4k 영상 지원안함




- 안무영상 프리하게 제왑 연습실에서 찍음




브이앱 활용도가 높음
유튜브엔 제공 안되고 브이앱에만 제공되는 
틋티비 리얼리티가 대표적인 케이스이며
브이앱을 자주켜준다고함
자체컨텐츠로 팬들이 궁금해하는 
음방 비하인드나 대기실 모습을 잘풀어줌
그리고 2본부에서는 시상식비하인드같은거 없는데 
3본부쪽에서는 풀어줌
시즌그리팅 잘내줌




대신 유튜브 영어자막, 해외언어자막을 안달아주고 
같은 제왑인데 4k 영상을 안올려줘서
해외팬들이 우리도 자막좀 달라고 맨날 애원하는데 
댓글로 야 브이앱가면 자막달려있으니까 거기가서 봐 
이렇게 팬이 댓글달아놓음 ㅋㅋㅋ 



스튜디오 제이

  대표아티스트 -
데이식스, 백아연, 박지민, 백예린, 낙준(버나드박)



장점 : 콘서트 꾸준히 해줌 굿즈 예쁘게 뽑아줌
음악활동 지원 잘갖춰져서 가수가 하고픈 음악 마음껏가능.


단점 음방이랑 예능 잘 안내보내줌
홍보를 잘안해줌


스제는 본부제 만들어지기 전에 생겨서
가수들 음악 하고싶은거 다 하라고 만들어준 
인디 레이블...이긴한데



데식이 인디밴드가 아니라
아이돌밴드쪽에 가깝고 
잠실콘 매진 + 월드투어 가능한 팬덤까지 있어서
데식팬덤관리 때문에 스제가 과부하 걸릴정도라
스제 일못한다는 소리밖에 못들은거같음...


내가 모든 제왑돌을 덕질한게 아니라 
틀린내용있을수있으니 
댓글달아주면 내용 수정하겠음
그리고 제왑 본부마다 
활발하게 활동하는 아이돌그룹이 하나씩 있어서
본부 일하는얘기할때 
그 그룹얘기같이 느껴지는건 어쩔수없음 ㅈㅅ "
1075,편두통 있는 애들 다 들어와봐 진짜,"진짜 매번 겪을 때마다 죽고 싶단 생각 밖에 안 들어 ㅠㅠㅠ 편두통 있는 너네들은 어떻게 견뎌내? 무조건 약 먹고 자?? 학교에서 자주 그러는데 어떻게 해야할지 모르겠어 진짜 ㅜㅠㅠ


+) 허얼 얘들아 흐엉으흐어응 나 처음 실베 올라갔어 진짜 감동이야 ｡ﾟ( ﾟஇ‸இﾟ+)ﾟ｡ 진짜 너무 고마워 ㅠㅠ
댓글들 읽어보니까 다들 탁센이나 이지엔6 애니(초록색) 추천하더라구!! ++) 어떤 분은 마이드린이 앞의 약보다 효과가 좋다고 하셨어!!
꼭 다음 편두통이 온다면 먹어보도록 할게 물론 다음이 없었으면 좋겠지만...
울 편두통 민족들 ••• 편두통 개새 없애버리자 하이띵...!!! "
1076,요즘 카페 근황 ㄷㄷㄷ, 
1077,야 홍콩 이 동영상 봤냐?;;;;;;,"+ 헐 자고일어나니까 톡선이네 첫 톡선ㅠㅠㅠ 아이돌 중국정부 관련 이야기 뺐어 혼선줘서 미안! 다들 홍콩의 민주주의를 위해 관심가져주고 잊지 말자 ㅠㅠ 이번 주말에 대규모로 또 집회 열릴거래 부디 무사하시길.


http://naver.me/F2cBFqCp
잘 정리 되어있는 기사 첨부하고 가



시 발 미친거 아니야 그냥 지나가고 있던 여자를 갑자기 잡아선 몸 만지는거 개 시 발 그리고 곤봉 시민들한테 뺏기니까 권총으로 위협까지;; 지금 홍콩 이착륙 금지 에 공항 인터넷 차단에 진짜 고립된거잖아 ;;;;; 갑자기 우리나라 아이돌들 무차별로 진압하는 홍콩 경찰 지지글 처올리고;;; 광주 민주화 운동이 생각난다 진짜 다들 무사하셨으면 좋겠어 ㅠㅜㅜ 눈에 총알 맞아서 실명되신분도 있고 이게 지금 21세기냐고 "
1078,너네 퍼피레드 알아?,"추억의 게임 퍼피레드 알아? 서비스종료한지 3년 지났잖아.. 너무 하고싶더라 ㅠ^ㅠ


   근데 퍼피레드 개발하신분이 블로그에 올린글!
퍼피레드 같은 게임을 다시 만드신대! ㅠㅠㅠㅠ
 퍼피레드가 그리워서 혼자서 만들어보시겠대..꼭 나왔으면 좋겠다.. "
1079,동남아 여행 음식 조심해야 하는 이유ㄷㄷㄷ, 
1080,몸 ㅈㄴ뜨거운애 있냨ㅋㅋㅋㅋㅋㅋ,"이게 체온이 높고 이런건 모르겠는데 그냥 살이 너무 뜨거움
진짜 그냥 침대나 이불위에 누우면 10분도 안돼서 그 자리가 따뜻해져.. 이런애 있어ㅠㅠㅠ?? "
1081,아이돌 실물 폰카짤로 체감하기,"엑소 찬열
이런애를 가까이서 보면 무슨 느낌이야?

비투비 육성재
멀리서 찍은거 같은데 이목구비 옆태오져

엔씨티 정우
정우도 잘생겼다 옆선이 곱ㄴㅔ

프엑 김민규
연습생들이 왜 비주얼 1등으로 뽑았는지 알것같음

레드벨벳 아이린
여신님 가까이서 보는 느낌이 이런거겠지?

갓세븐 잭슨
와 뭐야????????????????????????? 나잭슨 이렇게 잘생긴지 몰랐음 첨알았음

엑소 수호 (뒤에 빼꼼 옹성우)
수호는 귀공자 같이 생겼고 뒤에 옹성우는 겸디ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ

CIX 배진영
얼굴 조막만해;;;;;;;

방탄소년단 정국
정국 실물짤이랑 폰카짤 뜨는거 많이 봤는데 그 중에 제일은 이거 같음

옹성우
아까 수호 뒤에 겸디 어디갔어ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  아이즈원 권은비
얘도 진짜 예쁘구나ㅠㅠㅠㅠㅠㅠㅠ여돌들 다 이쁜거 같애

블랙핑크 로제
로제 실물 이래???????? 인형인줄

트와이스 쯔위
쯔위 입국심사였나 그거 할때 해주시는 공항직원분이 놀라는 짤 있는사람?
실물 장난 아닌가봄

마마무 솔라
몸매 쩔어 이목구비도 쩔어

몬스타엑스 민혁
잘생긴건 알았는데 이렇게까지 뚜렷하게 잘생긴줄은 몰랐어요

     
근데 이건 폰카짤일 뿐이고...
쌩눈으로 본 실물은 이거의 몇배로 잘생기고 예쁘다는거ㄷㄷㄷ      "
1082,진짜 학교다니기 진심으로 너무 싫어.,"+) 와.. 나 명전 갔어... 개신기해... 맨날 눈팅만 해보다가 너무 우울해서 써본 글인데.. 나같은 애들 진짜 많구나ㅠㅠ 게시물 올린 직후엔 별로 반응이 없어서 잊고 살았는데 아까 판 둘러보다가 명전에 내가 올린 강아지 사진 있어서 까무러치면서 들어왔다ㅋㅋㅋㅋ

근데 댓글에 여기 찐따년들만 모아놨네~ 걍 자퇴해라~ 같은 막말 꽤 보이는데 공감능력+배려심 결여된 심성 덕분에 힘든 사람한테 위로 한마디도 못해주고 부디 자기가 뭐든 잘난 마냥, 알지도 못하면서 남 평가질 할 수 있는 능력되는 마냥 평생 방구석에 쳐박혀서 키보드나 토독토독 거리길 빌게!

어젯밤에 그냥 신세한탄 길게 주절거려본 글이었는데 그만큼 나처럼 힘든 친구들 많은 것 같아서 마음이 참 아프다 ㅜㅜ 그래도 우리 딱 4개월만 존버해보자!! 나 초딩때부터 짱친이었는데 전학간 6년친구랑 생기부 마감되면 바로 현체내고 프라하로 뜰거야! 현체 쓸 수 있는 일수 모조리 다 쓰려고!! 댓쓴이들도 지금 너무 너무 힘들겠지만 꼭 이렇게 좋은 미래 생각하면서 버텨보자ㅜ♡ 사랑해♡♡♡

위로해주는 댓글들, 공감해주면서 본인 이야기 털어놓는 댓글들 하나하나 다 힘이 되었어, 다시 한번 고마워♡
넘 신기해서 캡쳐했어!! 고마워 다들!!





________________________________________________
아 진짜 개학 너무 싫다
반배정 개똥돼서 어차피 학교 가봤자 친구도 없는데 ㅋㅋㅋ ㅠㅠ 내일모레 개학이래ㅅㅂ ㅜ


진짜 우리반 애들 전부 나랑 너무 안맞아 ㅠㅠㅠ
이렇게 나만큼 반배정 개같이 된 애도 없을거야
진짜 단 한 명도 친한 사람이 없어 진짜.
이게 뭐가 찐으로 슬프냐면 두루두루 원만하게 말은 하고, 장난치고, 어울리고 지내거든?
꼭 여자애들은 4명, 6명씩 무리가 나눠져있잖아.
근데 우리반은 내가 들어갈 무리 조차없고(인원수 다 채워짐) 들어가고 싶은 생각도 없어지게 애들이 다 나랑 너무 안맞아.
전체적으로 보면 항상 애들 옆에서 웃고 떠드는 것처럼 보여서 왕따나 은따는 아닌데,
그룹끼리 모여서 놀거나 조별로 뭐 할 때 조 만들면 나 혼자 남는 그런 전형적인 찐따가 돼.
이게 진짜 서러워.

친한 친구들은 다 다른반으로 몰려서 나만 낙동강 오리알 신세됨.
급식도 다른반에 있는 그 친한애들이랑 먹는데 초반엔 나도 같이 떠들고 어울리고 그랬는데 시간이 꽤 지나니까 뭔가 걔네랑 나 사이에 벽 같은거 생긴 느낌 들더라. 걔네끼리 뭔가 똘똘 뭉쳐진 태양 느낌. 나는 그 주위에서 겉도는 행성이고. 걔네 잘못은 없어 그냥 내가 자존감이 낮아서 그렇게 느끼는건데 언제부턴가 현타 너무 오고 너무 속상해서 여방하기 한달전부턴 그냥 급식 안먹고 반에 혼자 엎드려 있었어.. 허엉 ㅜㅜㅜㅜ
학기초에 ㅈ된거 직감하고 눈깜짝하면 여방이다 좀만 참자 좀만 참자 하면서
그냥 남들 눈 다 무시하고 혼자 다녔는데
방학하자마자 벌써 한달이 훌랑 지나간겨 ㅠㅠㅠㅠㅠ


진짜 진심으로 학교 너무 가기싫다
또 겨울방학까지 어떻게 버티지..?
어차피 6개월 있으면 졸업이긴 한데

그냥 빨리 고닥교 가고 싶다 ㅜㅜ
고닥교 가면 더 힘들고 더 빡세지는 거 나도 아는데
지금 이 현실이 더 짜증나 차라리 고닥교 가서 인맥 친구 같은 거 신경 안쓰고 공부에 미쳐 살래 ㅠㅠ
심지어 울 학교 똥통이라 애들 공부 수준도 개판이란 말이야 ㅜㅜㅜㅜㅜ

나같은 애들 있냐 진짜 학교다니기가 하루 하루가 고통이고 지옥이다 ㅜㅜㅜ 개학하기 너무 두렵고
다들 힘내자 내년엔 반배정 좋게 나오길 기도하는 수밖에 없지 뭐 ㅠㅠㅠㅠㅠ



사진은 학교 생각하면 한없이 우울하니까 ㅠㅠ 갱얼쥐라도 보고 웃자ㅜㅜ "
1083,너네 인생드라마하나씩쓰고가셈,"일단 난 킬미힐미 ㅇㅇ
이것만큼 소재좋고 사회적문제(아동학대,다중인격장애)까지다루면서도 내용까지 처음부터 끝까지 완벽한드라마 아직 내 인생에서없었음
배우들연기력까지 탄탄해서 ㄹㅇ갓-벽
미스터선샤인도 소재좋고 되게 내용 탄탄하다고해서 고3인데 수능끝나고 볼까생각중
너네도하나씩쓰고가셈

짤은 같은복장+같은스타일링인데도 신세기 차도현 극명하게 구분되는거,,,ㅜㅜ갓지성 "
1084,웃긴 대화 풀자,"시작


나는ㅋㅋㅋㅋ아니고ㅋㅋㅋㅋㅋ

내 친구랑 여동생이랑 한 얘긴데
얘네 둘이 엄청 싸우거든ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
그래도 사이 좋음ㅇㅇ
아무튼ㅋㅋㅋㅋ


둘이 얼마나 싸웠으면 동생이 알바야 이걸 알빠냐고??
이거부터 생각한게 개웃김ㅋㅋㅋㅋㅋㅋㅜㅜㅜㅜㅜㅜㅜㅜ "
1085,너네가 받은 최악의 고백 있냐 ㅋㅋ,"난 '우리 썸탈래?' 이 말 실제로 들어봄 중1 때 ㅋㅋㅋㅋㅋ 난 또 좋아서 구래구래! 우리 썸타자! ㅇㅈㄹ함
+ 헐 나 2019년 되고 처음으로 톡선 왔어;; 이 영광을 하정우에게...^^ (본진이라서 걍 써봄ㅋ) "
1086,40살 종업원과 26살 여사장,  
1087,볶음밥에 미친 나라,  
1088,예비시누이 밥사주는데 지 친구들까지 끌고온게 정상인가요?,"남자친구와 곧 결혼을 앞두고있어요.



근데 참 생각이 많아지네요.




갈비를 먹으러갔는데 남자친구가 동생이와도되냐고


묻더군요. 제가 밥사기로했었고 상견례때도 시누이를 못봐서


흔쾌히 오라고했어요ㅎㅎ


근데 혼자온게아니라 지 친구들끌고왔더군요.



그것도 2명이나;;


남자애 여자애 시누이 이렇게왔는데


저희한테 인사하고 바로자리에 앉더니 먹기시작하더군요.



전 너무 어이없었는데 그래 이왕이렇게된거 좋게
생각하자했는데



원래 고기가 부족하면 더시켜도되냐고
묻는게 정상아닌가요?



지들끼리 야 고기부족하지? 더시켜 더시켜 이러는거에요 ㅡㅡ

고기 5인분지들마음대로시키고
남자애는 정말 잘먹더군요.


공깃밥에 냉면까지시켜서
이것도 저한테 시켜도되는지 묻지않았구요.



남자친구가 한마디할줄알았는데 가만있더군요.






계산하고나오는데 적어도 잘먹었다 고맙다할줄알았는데



나오자마자 시누이하는말이 ""오빠 2만원만""



ㅋㅋ 정말 웃음나왔어요. 친구들도 인사도안하고




근데 남자친구가 애들가자마자
바로


미안하다고 친구들데려올지몰랐고 이왕 온애들한테
뭐라고하기가 그랬다고 말해줘서 좀 풀리긴했는데



아니면 이제 고등학생애들한테 제가 너무치사한건가요?

1인분에 12000원 갈비였는데 14인분을 먹었네요. "
