,제목,내용
2748,[단독]새로 개통한 도로에서 숨진 신문배달원…유족이 LH에 분통터뜨린 사연은?,"유족 ""진행 방향 바뀐 사실 알기 어려워…LH 안전조치 미흡"" "
2749,"아스트라제네카 맞은 서울대병원장의 첫마디는? ""찔렀나?""","김연수 병원장 ""안전성 믿어…모든 백신은 근거 있는 제품"" "
2750,[단독] 가게 폐업 자식 빚 떠안고 술 취한 아들에 맞아 숨져… 학대당하는 노년의 苦生,"[코로나 세대보고서-2021 격차가 재난이다]
<6> 코로나 노년 팬데믹 "
2751,대한민국 변희수 前하사 눈물 닦아주지 못하고 떠나보냈다,국내 첫 ‘성전환 군인’ 숨진 채 발견 
2752,기안84 웹툰이 약자 편이라는 착각,"[돋보기]“약자 편에서 그렸다”는 기안
외국인 노동자·장애 여성·가난 비하
혐오와 비하, 풍자와는 엄연히 달라 "
2753,LH에 칼 빼든 文·이재명에 유승민 “오거돈 일가 가덕도 땅투기도 처벌 말하라” [이슈픽],SNS서 밝혀 
2754,"[르포] ""평당 10만원 하던게 250만원"" 오를 대로 오른 가덕도 땅값","부동산 중개업자들 ""살 사람은 다 샀죠…대부분 외지인""
작년말 기준 가덕도 사유지 859만㎡ 중 79% 외지인 보유
현장엔 공항 건설시 보상비 노린 조립식 건축물 신축 한창 "
2755,백신접종 속도 빨라질 듯…요양병원 65세 이상도 AZ백신 맞을까,"영국, '고령층에 AZ백신 효과' 결론…정부 ""자료검토 뒤 결정""
이르면 7일부터 코로나19 1차 대응요원도 AZ백신 접종 시작 "
2756,고양서 AZ 접종 50대 기저질환자 사망…부작용 여부 확인 안돼(종합),"보건당국, 역학조사 진행 예정…접종자 지속 모니터링 "
2757,"'이해관계 논란' 닷새만에...이영애 ""남편 방산업계 종사 안해""","""남편 정 씨 군납업자 아니다"" 의견문
과거 부상 장병 위로금 등 군 관련 기부 여러 번 "
2758,"[단독] ""317만 원짜리 금팔찌 돌려주세요""...도난 당한 피해자만 '한숨'",'장물'인 줄 모르고 시세대로 매입하면 환수는 물론 처벌도 어려워 
2759,4년 전 곡도 '역주행'…대중들이 바꾼 판도 '음원 1위',재치 있는 댓글 보는 재미…'댓글 차트'에 첫 1위 
2760,“성전환” 밝힌 뒤 1년 만에… 변희수 전 하사 숨진 채 발견,"‘커밍아웃’ 후 육군 강제 전역
지난달 28일 이후 연락 끊겨 "
2761,"564만 명에게 최대 5백만 원…""한 달 버티면 끝""",MBC뉴스는 24시간 여러분의 제보를 기다립니다. 
2762,백신 접종 후 사망 2명·아낙필락시스 의심 3명 '첫 확인',코로나19 백신 누적 접종 8만 7428명 
2763,"""그래서 아버지가 누구냐고요"" KTX 햄버거 여성 사건의 전말 [한승곤의 사건수첩]","방역수칙 무시하며 열차 객실에서 마스크 내리고 햄버거 먹어
승무원 안내에도 대놓고 무시하며 큰 소리로 전화통화도
승객들 항의하자 ""우리 아빠 누군 줄 아냐"", ""천하게 생긴 X이"" 거칠게 항의
시민들 공분 일고 논란 커지자 ""저 자신 돌아봐"" 결국 사과 "
2764,"해변서 주운 덩어리, 알고보니 3억 짜리 '바다의 로또'","향유고래 수컷의 토사물 '용연향'
고급 향수의 재료로 쓰여
g당 27달러에서 87달러까지 호가 "
2765,"""350억이 3602억으로"" 네이버, '배민' 투자해 10배 평가익 '잭팟'",독일 딜리버리히어로 주식 169만151주를 취득 
2766,[Pick] 지하철서 잠든 척 성추행…'범죄학 박사' 경찰에 딱 걸렸다,강 경사는 꾸벅꾸벅 조는 것처럼 보였던 A 씨가 왼손에 자신의 소지품을 꽉 쥐고 있는 모습에서 수상한 낌새를 느꼈습니다. 정말 자는 사람이라면 근육이 이완돼 그만한 힘을 줄 수 없기 때문입니다. 
2767,학교가 싫어 개학 첫날 투신한 중2년생,"학교와 경찰, 학교폭력 관련 여부 조사 중. "
2768,전기차보다 충전시간·출력 탁월… ‘미래 몸값’ 불리는 수소차,"[수소경제, 미래를 묻다] (상) 세계는 수소경제 전쟁 중 "
2769,‘KTX 햄버거 진상’ 비난 계속되자 “협박 없었다…비난 그만”,"해당 승객이 보낸 사과 메시지 공개
“미안하다는데 죽일듯이 비난 그만” "
2770,"떠난 아들이 남긴 손주 보며 돈 없어도 참고, 아파도 참고… 방구석에 갇힌 노년의 ‘忍生’","[코로나 세대보고서-2021 격차가 재난이다]
<6> 코로나 노년 팬데믹 "
2771,"文 호령…‘작심’ 이재명 “‘사전 투기’ LH 배신, 발본색원해 처벌” [이슈픽]",SNS서 밝혀 
2772,나경원·오세훈 “4번 달면 져”…안철수 “2번은 이미 7연패”,서울시장 후보 단일화 놓고 ‘출마기호’ 기싸움 팽팽 
2773,임은정 “한명숙 사건서 직무 배제”…대검 “애초 사건을 배당한 적 없다”,법무부·대검 정면충돌 
2774,"""신경과민으로 그랬다""…'KTX 햄버거' 그 승객의 해명","코레일 측 ""취식 장면 증거로 남아, 가능한 조치 있는지 검토"" "
2775,"폭설에 '거대 주차장' 된 도로…차량 수백대 고립, 사망사고도",강원 8개 시군 66개교 '휴업'…26곳은 등교 시간 조정 
2776,"지원금 영업제한·금지업종 300만~500만원, 일반업종 100만~200만원","전기료 지원 포함 땐 최대 650만원…직접지원 대상 500만명 넘을 듯

전체 19조5천억원 중 추경은 15조원…국채 발행 9조9천억원 "
2777,오늘 코로나 2년차 새학년 첫등교…유·초1∼2·고3 매일 학교에,특수학교급·소규모 학교도 매일 등교…나머지 학년 격주·격일 등교 
2778,현금 1억 든 금고 훔쳐 흥청망청…탕진하는 모습 SNS 올리기도,음주운전 혐의로 체포 후 조사해보니 서울 강남 금고 절도 용의자 
2779,노래방 500만원·식당 300만원…소상공인 385만명에 6.7조 수혈,"5개 유형별 100만~500만원 차등 지급…복수사업체 운영시 최대 2배
일반업종 지원, 연매출 4억원 이하→10억원 이하 확대 "
2780,"""눈 폭탄 차안에서만 12시간"" 지옥길 된 강원도 김계장의 출장길","""순식 간에 차량 수백대 고립돼 아찔""
도로·군당국 작전 끝에 겨우 통행 재개
""잊을 수 없는 삼일절"" 귀가 뒤 한숨만 "
2781,"""직을 건다"" 윤석열 도발, 참아 넘길 수 없던 청와대","언론 인터뷰 공개되자 곧바로 입장
""국회 존중... 차분히 의견 개진해야"" "
2782,커지는 '4~5월 백신공백' 우려... 최악의 경우 69만명분으로 버텨야,"예방접종 핵심은 '속도'인데 2분기 물량 불투명
가시화한 건 화이자 50만명분, AZ 19만명분뿐
노바백스·얀센·모더나 도입 감감무소식 
대다수 백신 공급이 3분기 이후에 몰려 "
2783,'살짝 쿵'에도 뒷목부터··· 車사고 '나이롱 환자'에 칼날,"금융위, 보험산업 업무계획 발표
과실비율 따라 치료비 보상 추진
과잉진료 땐 진단서 제출 의무화
AI·화상통화로 보험상품 판매 허용
1사 1라이선스 규제 완화 등도 "
2784,"KTX서 햄버거 쩝쩝···제지하자 ""우리 아빠 누군지 알아?""","마스크 내린 채 음식물 섭취·전화통화···방역수칙 어겨
""마스크 올려달라""는 요청도 무시···네티즌 영상 공개 "
2785,'부동산 가두리에 당했어요'···논란의 실거래 신고 [집슐랭],"'등기일 기준' '계약일 기준' 각각 다른 주장
무주택자는 더 늦춰야, 유주택은 더 당겨라
국토부는 ""계약일 당일 신고 시스템 검토"" "
2786,"볼보 '전기차 대전환' 선언···""온라인 거래만 할 것""","2030년까지 전차종 전기차로 전환
판매방식도 온라인으로 바꾸기로 "
2787,백신 접종 후 사흘...1호 접종자들에게 물어보니,"화이자 백신 1호 접종자 ""첫 접종이라 걱정…특이증상 없어""
""주사 맞은 부위에 뻐근함 느껴…일시적 현상""
""독감 주사와 다르지 않았다…접종 부담 없었어"" "
2788,[단독] '이리 쿵 저리 쿵'...대낮 주택가에 수상한 자동차,"잔뜩 취한 50대 차주…대리기사 불러 집으로
기사 떠나자 직접 잡은 운전대…집 앞 주차 시도
급출발·정차 여러 번…결국 다른 차량 들이받아 "
2789,3억 빌리면 月 99만원…40년 갚는 '초장기 주택대출' 나온다,"하반기 청년·신혼부부 우선
기존 30년 만기 보금자리론보다
月 상환액 17% ↓·총이자 38% ↑
집값 9억원 넘으면 제외될 듯

청년 전·월세 대출 한도 상향
분할상환 전세대출도 활성화 "
2790,"""기성용, 법정서 밝히자"" vs ""20년 지나 폭로, 다른 이유 있다""","""현재처럼 사건 진행하는 것은 명백한 잘못"" "
2791,"그래핀스퀘어, 12년 R&D 결실…'꿈의 신소재' 연구장비 수출한다","'그래핀 권위자' 홍병희 대표

화학기상증착 기술 세계 첫 개발
전기차·반도체 장비에 활용
이스라엘 등과 공급 계약

""내년 초 코스닥 상장 목표"" "
2792,"[단독]""20명 숙소서 기성용에 당했다"" vs ""그게 가능하냐""","‘성폭행 피해’ 주장 인물, 기성용 쌍방 인터뷰 "
2793,[사건후] 함께 살던 ‘대학 동기’…악연으로 마침표,함께 같은 방에서 지내며 꿈 많은 캠퍼스 생활을 하던 동기에서 이제는 영원히 씻을 수 없는 상처를 남기며 ‘돌아올 수 없는 강’을 건넌 두 사람. 과연 이들에게는 무슨 일이 있었던 걸까? 
2794,“방역수칙이요? 전 열외입니다만?”,"지난 1월, 코로나19 확진 판정 받은 주한미군 군무원
자가격리 기간에 동네 '활보' 뒤늦게 드러나
주거 지역 한국이지만…방역수칙은 미국법 적용 "
2795,"전광훈 ""문재인 패륜아, 나쁜 놈의 자식""…3·1절 막말","전광훈 ""文, 고쳐서 쓸 수 없는 패륜아"" 막말
'국민저항권' 등 언급하며 ""끌어내자"" 주장
자체 특검단도 ""체포·구금한다""…기자회견 "
2796,이대로면 한달간 400명대…거리두기·5인이상 모임금지 2주 연장,"하루 평균 확진자 369.9명…300명~400명 등락
""백신 접종 시작됐지만 방역상황 여전히 불안""
유흥시설·방문판매업, 영업 밤 10시 제한 유지
수도권 식당·카페·헬스장·노래방 밤 10시 제한
방역수칙 위반업소, 적발 즉시 2주간 집합금지
유·초1~2·고3 변동 없이 내일 매일등교 가능해 "
2797,코로나19 백신 이상반응 152건 모두 경증…AZ 151건·화이자 1건(종합),"1차 접종률 5.8%…""3일내 특별한 조치 없이도 소실돼""
""정상 면역형성 과정…접종 6주 뒤까지 적극 모니터링""
""화이자 백신 3주 간격 접종…3월 2차 접종까지 완료""
""2분기 공급일정 미정…물량·시기 확정되면 다시 설명"" "
2798,판 커진 4차 지원금 19.5조 추경 내일 발표…노점상·일용직 50만원,"당정청 최종 조율 마치고 2일 국무회의 의결 후 국회 제출
이낙연 ""1인당 지원액 300만원 보다 커…총 20조 넘을 수도""
당정, '더 두텁고 폭넓게'…200만명 포함하고 지급액도 상향 "
2799,"이재명 23.6% '선두', 윤석열 15.5%…이낙연 15.5% '반등'","이재명 두달째 상승세…이낙연 10개월 만에 반등
호남, 이재명 2.5%p 이낙연 6.6%p 나란히 올라
대선주자군, 범여권 49.8%, 범야권 39.1%…격차 "
2800,'나 혼자 산다'의 화사처럼 나도 쉴 수 있을까,싱잉볼 명상 체험기 
2801,[여론조사] 이재명 23.6% 1위... 이낙연·윤석열 공동 2위,"[차기 대선주자 선호도] 안철수 7.0% 최고치 경신, 홍준표 6.6%... 이낙연 10개월만에 반등 "
2802,서울시내 골목에서 경찰이 벌인 참극 [청죽통한사],[청죽통한사 18] 김귀정 
2803,"""이 여자들, 목숨 걸었다는 걸 보여주고 싶었다""","[인터뷰] '싸우는 여자들, 역사가 되다' 전시회 연 윤석남 화백 "
2804,"중국 화장실엔 문이 없더니, 쿠바 화장실엔 '이게' 없다",[40대 백수가 얼떨결에 간 쿠바] 아바나에 도착하다 
2805,"K주사기 쓰면, 화이자 1병당 접종자 6 → 7명 늘려 속도전 기대","[코로나 백신 접종]
폐기량 줄여줘 접종자 수 늘어나… 화이자 5만8500명분서 1만명 증가
아스트라도 1병당 1~2명 더 맞혀… 접종속도 높여 조기 집단면역 기대
일각 “1병당 인원 빡빡하게 고정땐 추출 과정서 오류 등 사고” 우려도 "
2806,[단독]김종인 “안철수가 안받을 룰 추진말라” 단일화 놓고 미묘한 변화,"[4·7 보선]
국민의힘 유리한 방안 백지화… 치열한 기싸움서 한발 빼는 양상
“安으로 단일화땐 기호2번 출마를”… 일부 초선 입당-합당 촉구키로
金위원장 “보선전 사라질수도”… ‘安 단일화땐 사퇴’ 해석 나와
국민의힘 “배수진 의미” 선그어 "
2807,중부지방 최대 80㎜ 많은 비…강원 영동엔 폭설 예보,낮부터 찬바람…내일(2일)과 모레 기온 크게 떨어져 
2808,"""아주 돈쭐을 내줘야""…선행 베푼 치킨집에 생긴 일",배고픈 형제에 치킨…'손편지'로 알려진 선행 
2809,같은 생수라도 ‘500㏄ 4개’보다 ‘2ℓ짜리 1개’ 사야 하는 이유,"500㏄ 페트병 20%를 2ℓ로 바꾸면
폐기물 연간 1%, 9천t 줄어들어 "
2810,"님아, 그 패딩을 넣지 마오…내일부터 비 100㎜, 폭설 50㎝","1~2일 수도권과 강원 영서지역 큰비
기온 영하로 떨어지며 강원 영동 폭설 "
2811,"“공장에서 도망가다 잽히믄, 사람들 앞에 옷 베껴 돌렸당께”",일제 국내 강제동원 피해자들 
2812,"올 하반기부터 자동차사고 경상환자 치료비, 본인과실은 본인이 부담","금융위, 올해 보험산업 정책방향
소액단기보험은 올 6월 허용
사람 대신 AI 음성로봇이 설명 허용 "
2813,"교회협, 전광훈 “예수 족보 속 여성들 창녀” 망언 규탄 성명","지난 21일 설교서 “3·1절에 문재인 끌어내야”
“일본군 위안부는 군인 성적 해소 위해 필연적”
교회협 여성위원회 “망언 사죄하고 사회에 사과…
한국교회, 전 목사 이단성 결과 조속히 공개해야” "
2814,[어머! 세상에] 야간근무 한다더니…아내 몰래 '이중 결혼'한 泰 30대,"태국 한 결혼식장 난입한 여성들, 신랑에 삿대질하고 폭행
알고 보니 첫 번째 아내·장모…이중 결혼·불륜으로 신랑 신고 "
2815,“전세가 안 나가요”…슬슬 쌓이는 전세 매물,"잠실 엘스, 2억 내린 전세매물 등장
두달새 25% 증가…서울·경기 비슷
“다만 입주 아파트 적어 하방압력 낮아” "
2816,"씨티그룹 ""비트코인, 화폐냐 투기붕괴냐 변곡점에 서 있다""","""10년전 개인 주도와 현재 기관 참여 극명한 대조""
""중앙은행 디지털화폐 채택 땐 상업이용 크게 늘 것""
英운용사 러퍼 ""비트코인 금융화 긴 추세와 출발점"" "
2817,비트코인 5300만원대···'널뛰기' 행보,"1일 국내 거래소 가격
한때 저가기준 5000만원선 깨지기도 "
2818,[알려줘! 경제] 2천억원 써가며 '노동자 아니에요',업체에 종속된 플랫폼 노동 종사자 
2819,"날개없는 비트코인의 추락…""4만4000달러도 깨졌다""","美 암호화폐 거래소에서 4만3810달러
옐런 경고에다 국채 금리 상승이 영향

""시총 10조달러 넘으면 변동성 감소"" "
2820,"[영상] 친구 결혼식서 깜짝 프로포즈…""웨딩 망쳤다"" 비난도","호주서 부케 세레모니 때 절친이 프로포즈
신랑 ""마법같은 순간이었다""
누리꾼 ""내 웨딩에서 이랬다면 절연"" 비난 "
2821,꼭두새벽부터 공부·운동…2030 '미라클모닝'에 빠지다,"코로나에 지친 MZ세대, 자기계발로 우울증 극복

#새벽기상 #14일차 #얼리버드 #오늘도 파이팅

특정 SNS 해시태그만 30만건
일상 속 성취 통해 자신감 회복
'챌린저스' 앱 이용 3배 껑충 "
2822,테슬라 탑재 SIC 전력반도체…현대차·SK·포스코 '공격 투자',"SK, 관련기업에 추가 투자 검토
현대차, 전력효율 개선 제품 개발 "
2823,서울 전세난 심각하다는데…대치동 3억 이상 '급락'한 이유,"학군수요 마무리·코로나19 영향 '수요 감소'
전세매물 늘면서 호가 떨어져
""이사철 되면 수요 다시 늘어날 것"" "
2824,천안 원룸서 아빠와 7살 딸 숨진 채 발견…아내가 신고,"외부침입 흔적 없어, 경찰 '부검' 예정
현장에서 가족에게 남기는 유서 발견 "
2825,"기성용 ""증거 빨리 내놔라"" 피해자 측 ""원하는대로 해줄 것""","기자회견 자청해 30여 분 열변
피해자 측 ""기, 원하는대로 해줄 것"" "
2826,"[자막뉴스] '창사 이래 가장 큰 위기' 롯데, 최근 사내 게시판 통해 공지한 내용","롯데마트, 창사 이후 첫 희망퇴직 공개 실시
롯데, '몸집 줄이기' 본격화…구조조정 시작 "
2827,[판결남] ‘천만 원 벌금’ 음주운전…‘무죄’로 뒤집힌 까닭,"대법원까지 올라가는 사건은 많지 않습니다. 우리 주변의 사건들은 대부분 1, 2심에서 해결되지만 특별한 사건이 아니면 잘 알려지지 않는 게 현실이죠. 재판부의 고민 끝에 나온 생생한 하급심 최신 판례, 눈길을 끄는 판결들을 소개합니다. "
2828,"김동성, 자택서 쓰러진 채 발견…""생명 지장 없어""(종합)","한 낮에 수면제 먹고 의식 잃어 병원으로 옮겨져
극단적 선택 여부는 확인 안돼…평소 어려운 심경 전해 "
2829,아이오닉5 '추월' 예고…빠르고 멀리 가는 기아 'CV',"4개월 후행 개발에 따라 배터리 용량 키울 듯
'5‧4‧3' 공식=항속거리 500km‧4분 충전 100km 주행‧제로백 3초
현대차도 제네시스 GV60, E-GMP 기반 '프리미엄' 겨냥 "
2830,"연이은 '학폭 폭로'에 경찰 ""전담경찰·학생 중심 대응 강화""","경찰청, 다음달 2일부터 2개월간 '신학기 학교폭력 집중관리 기간' 운영 "
2831,"[취재파일] '빈털터리' 회장님의 '1,800억 원' 재단 재산을 공개합니다",최순영 전 신동아그룹 회장 관련 재산 추적① 
2832,"[단독]‘이용구 폭행사건 지휘’ 서초署 간부, 휴대전화 데이터 삭제 정황","앱으로 통화-문자 등 없애 논란
보안업계 “완벽한 복원 어려워”
내사종결 과정 압력 규명 힘들듯 "
2833,"김동성, 극단적 선택 시도…""생명 지장 없어""","▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산] "
2834,속수무책 무너지는 비트코인…5천만원대도 위험,"▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산] "
2835,"""생돈 날릴순 없다"" 세입자, 집주인 몰래 에어비앤비 운영","▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산] "
2836,가을에 자동차 공장 멈추나…국내 완성차업계 '초긴장',"업계 ""車 반도체 3분기까지 수급난""
완성차 업체, 줄줄이 플랜B 가동 중 "
2837,"AZ백신 접종 이상반응 111건, 화이자는 1건…""모두 경증""","▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산] "
2838,"[단독]‘이용구 폭행사건 지휘’ 서초署 간부, 휴대전화 데이터 삭제 정황","앱으로 통화-문자 등 없애 논란
보안업계 “완벽한 복원 어려워”
내사종결 과정 압력 규명 힘들듯 "
2839,격리수준 생활에 작은 집 답답해… 큰 평수 선호하고 공간변형 쉽게,"거실-방 나누는 가변형 벽체 사용… 입주자가 홈시어터 만들땐 벽 없애
귀가때 바로 손씻게 현관에 세면대
집을 카페처럼 꾸민 평면도 등장 "
2840,1호 접종 의사 “바이러스와 ‘짱돌’들고 싸우다 이젠 총든 느낌”,[백신 접종 시작]전국 200여 곳서 1만6813명 접종 
2841,머리손질에 강력접착제 쓴 미 흑인 여성 수술 받고 회복,"""머리카락이 나를 결정하지 않는다는 사실 새삼 깨달아"" "
2842,"레이디가가, 납치된 반려견 되찾아…현상금 5억원 진짜주나","LA경찰 ""한 여성이 경찰서에 데려와…납치 관여하진 않은듯"" "
2843,생후 300일 넘도록 의식 없는 아들…부부에게는 '삶의 이유',"아들 '수호' 모습 사진으로 남겨…""깨어나면 볼 수 있길"" "
2844,다음주 4차 재난지원금 발표…1인당 국민소득도 공개,코로나 대출 연장·이자 유예 연착륙 방안도 
2845,코나EV 화재 딛고 대박 터트린 '아이오닉 5'…이유는,"전기차 전용 플랫폼 첫 적용한 현대차 야심작
보조금 받으면 3천만원대 구입 가능한 것도 유인 "
2846,‘쌀집 아저씨’의 공익예능…감동과 사회변화 두 토끼 잡다,"[토요판] 남지은의 토요명작 리플레이
⑨<일요일 일요일 밤에>이경규가 간다―숨은 양심을 찾아서

정지선 지키는 차량 찾으려
밤새 대기했던 첫 촬영날
‘안되겠다’ 지쳐가던 스태프들
철수 의견 나온 지 13분 만에
기적처럼 멈춰선 장애인 부부
전설의 ‘양심냉장고’ 1호 주인공 "
2847,프레디 머큐리 지워버린 SBS의 프레디 머큐리 영화,"[토요판] 이승한의 술탄 오브 더 티브이
‘보헤미안 랩소디’ 편집 논란

설날 특선 ‘보헤미안 랩소디’ 편성
‘감동의 영화’ 대대적 홍보 했지만
동성 키스 장면 등 싹둑 가위질해
‘15세 관람가’여서 편집했다 해명

“조심스러울 수밖에 없었다”지만
이성 키스, 여성 노출은 그대로 방영
삶의 주요 축 범성애자 정체성 실종
민망한 편집으로 성소수자들 모욕 "
2848,입원한 어머니는 왜 아버지에게 오지 말라고 할까,"[토요판] 조한진희의 잘 아플 권리
④ 돌봄의 성별

성별에 따라 너무 다른 현실의 돌봄
암환자 여성일 때 이혼율 3~4배 높고 정서적으로도 남편의 지원을 덜 받아

인간의 의존성은 ‘특수’ 아닌 ‘보편’
‘돌봄노동 무임승차’ 특권 던지고
돌봄 성별성 깨는 일상의 혁명 기대 "
2849,"[ESC] “10년차 부부, 몸이 멀어지면 마음도 멀어질까요?”","Q1 내 생애 최고 행운이자 대나무숲, 남편
대화 많지만 섹스 어색한 우리 괜찮을까
A1 부부의 성이란 위로이며 대화이자 교감
그의 몸에 다시 관심을 가져 보자

Q2 사춘기처럼 감정 요동치는 40살 회사원
이룬 것 없는 마흔, 미래 너무 불안해
A2 모든 경험은 새로운 시작의 바탕
하루 30분 소박한 ‘입력값’을 줘보자 "
2850,"“램자이어, 위안부 논문 근거 조선인 계약서 못 봤다고 시인”","석지영 하버드 로스쿨 교수
램자이어 인터뷰해 밝혀
“인용 잘못된 사례도 인정
내가 실수했다고 말해” "
2851,"[월드리포트] ""매춘 계약서 없다"" 궁지 몰려 실토…학계 대사건으로 번진 '램지어 사태'",● 램지어 국면 뒤흔든 하버드 석지영 교수의 폭로 
2852,"""화투 갖고 놀면 패가망신"" 법정 빵 터진 조영남의 최후진술","타인이 70~80% 그린 화투 그림
사기로 기소된 후 방송 등 올스톱
재판 받은 5년 동안 ‘유배’ 생활

“조영남 아이디어면 그의 그림”
진중권, 1심 때 나와 올곧게 증언
3심 때 증인으로 채택 안 해 미안

‘미술 대작’ 판례 없는 세계적 판결
음대 후배 여변호사가 국선 변호인
“무죄” 순간 굴곡의 삶 주마등처럼… "
2853,머리 손질하다 접착제 바른 흑인 여성의 최후···결국 수술 받고 회복,"""머리카락이 나를 결정하지 않는다는 사실 새삼 깨달아"" "
2854,"진중권 “이재명, 언제든 친문(親文) 물갈이”에···김남국 “갈라치기 그만”","김남국 ""민주당은 언제나 원팀"" "
2855,"""BTS=코로나"" 당당하더니…결국 ""내가 잘못했다""","독일 방송인, 인종차별 논란에 직접 사과문 올려 "
2856,"“학생, 돈 줄테니 만날래?” 이젠 처벌합니다…함정수사도 허용",■ 지금까진 처벌 못 했던 온라인 범죄들…이제는 다르다 
2857,‘쩍벌남’에게 경고한다!…바지로 보내는 메시지?,■ '쩍벌남'을 발견한 '쩍벌녀들' 
2858,“형제 치킨값 선결제하고 간 고객도 있습니다” [인터뷰],"‘철인7호’ 홍대점 박재휘 사장
“형제 편지 받고 너무 고마워…코로나 상황에 큰 힘” "
2859,수로관 갇혀 일주일…몰래 버린 유기견 극적 구조,"군산유기동물보호소 ‘개린이들’, 인스타 통해 알려 "
2860,"""생돈 날릴순 없다"" 세입자, 집주인 몰래 에어비앤비 운영","▶ 네이버 홈에서 [한국경제TV] 채널 구독하기 [생방송보기]
▶ 대한민국 재테크 총집결! - [증권 / 주식상담 / 부동산] "
2861,"""이런 기능까지?""…아이오닉5의 특별한 5가지 [궁금타]","차 외부서 배터리 잔량 한눈에 확인
쏠라루프패널로 주행중 태양광 충전 가능
디지털사이드미러 장착
저온 시 배터리 소모 줄이는 ‘히트펌프시스템’ "
2862,일부러 적자내는 쿠팡…로켓배송의 독점은 정말 가능할까 [한입경제],"미국 상장 앞둔 플랫폼 기업 쿠팡
""의도적인 적자, 앞으로도 계속""
적자 배경이 된 '풀필먼트 서비스'
로켓배송 통한 시장 독점 가능할까 "
2863,우즈 사고의 비밀…제네시스 GV80 '블랙박스'는 알고 있다,"AP통신 ""조사관들, 블랙박스에 크게 의존할 것"" "
2864,"[단독] ""강남서장, 불법 마스크 압수해 약사 아내에 빼돌려""...경찰 진술 확보","불법 마스크 수사 지휘…""압수물, 아내에 넘겨라""
경찰청 감찰, 박 총경 '부당 이익' 챙겼는지 조사
""사무실서 술판…부하 여성 경찰관 성추행"" 의혹 "
2865,“15분 대기하니 울렁거림 사라졌다” 긴장→설렘 바뀐 첫 백신 접종 현장,"서울 도봉구 재활병원 접종 현장 가보니
접종 완료까지 32분 소요···이상반응 관찰실서 20분 관찰
알레르기 반응 등 예진표 꼼꼼히 작성해야 "
2866,[백신접종] 화이자 백신 국내 도착···드라이아이스 430㎏ 투입,"화이자 백신 11만 7,000도스···5개 도시 접종센터로 배분
대한항공, 특수 컨테이너 4대로 운송···""민관 협업으로 안전히 수송"" "
2867,"""하려면 지금 해야한다"" 학폭 미투 확산","심판 사례 보고 폭로 용기 얻어
가해자 과거 반성 계기 분석 속
이슈 편승 가짜 증언 우려 나와
진짜 피해 묻힐 가능성 경계 필요 "
2868,코로나19 어제 406명 확진···거리두기 2주 연장 (종합),"지역발생 382명, 해외유입 24명
거리두기·5인 이상 사적모임 금지 2주 연장 "
2869,[기동취재] 끈질기게 만나자던 '4km 48세 남성'.txt,[기동취재] 끈질기게 만나자던 '4km 48세 남성'.txt 
2870,"""지옥 같다"" 직원평가 논란…카카오 김범수, 입 열었다","""서로 배려해야"" "
2871,"""집주인이 몇천만원 낮춰주면 고민하던 매수자들 달려든다""","'거래절벽' 서울아파트 열흘새 매물 9% 감소
신고가 거래 이어지나 1억 떨어진 단지도 나와
정부 공급정책 효과 발휘할지 '촉각' "
2872,"승리 측 ""여배우 힐끔거려 기분 안 좋아""…증인 출석한 정준영 [종합]","승리, 특수폭행교사 혐의 부인
""여배우 힐끔거려 기분 좋지 않았다""
""검사 지목 조직폭력배? 경호원이다"" "
2873,"""광명 집값만 잡나""…11만 가구 '공급 폭탄'에 뉴타운·재건축 비명","이슈 추적 - 광명시흥 신도시 '후폭풍'
광명 지역 2028년까지 신축아파트 줄줄이 쏟아져

뉴타운 11곳·재건축 4곳 등 4만가구 정비사업 진행중인데
'7만가구 발표'까지 나오자 웃돈 떨어지고 매도 문의 쇄도
신도시 지정지역선 ""내 땅 포함됐냐""…토지매물 호가 상승 "
2874,"'기성용 성폭행' 폭로자 재반격 ""증거 충분하다, 공개할수도""","""사실무근"" 주장한 기성용에
법률대리인 통해 재반박 나서 "
2875,"""공짜로 거물 태운셈""…우즈와 제네시스 대회 4년 악연","현대차, LA 대회 스폰서 최고의 투자
""슈퍼스타를 공짜로 차에 태웠다""
그러나 거물 교통사고로 앞길 험난 "
2876,"[단독]택시기사, ‘이용구 동영상’ 복구후 지인에 전송","지난 18일 '코로나19 검사' 국회 불참
법사위 파행…22일 전체 회의 재소집
이용구 ""불가피한 불출석, 사과드려"" "
2877,"안개 짙어진 부산 민심… 野 우세속, 40% 육박 무응답층 변수",[4·7 보선]40여일 앞둔 판세 분석해보니 
